"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Feasibility of Study of Empagliflozin in Patients With Autosomal Dominant Polycystic Kidney Disease","Not yet recruiting","No Results Available","Polycystic Kidney, Autosomal Dominant","Drug: Empagliflozin|Drug: Placebo","University of Coloardo Anschutz Medical Campus, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT05510115"
2,"Time Restricted Feeding in Autosomal Dominant Polycystic Kidney Disease","Active, not recruiting","No Results Available","Polycystic Kidney, Autosomal Dominant","Behavioral: Dietary","University of Colorado - Anschutz Medical Campus, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT04534985"
3,"Bosutinib For Autosomal Dominant Polycystic Kidney Disease","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: Bosutinib|Drug: Placebo","Southwest Kidney Institute, PLC, Phoenix, Arizona, United States|Southwest Clinical Research Institute, LLC, Tempe, Arizona, United States|Southwest Kidney Institute, PLC, Tempe, Arizona, United States|Capital Nephrology Clinical Research, Sacramento, California, United States|Boise Kidney & Hypertension Institute, PLLC, Caldwell, Idaho, United States|Boise Kidney & Hypertension Institute, PLLC, Meridian, Idaho, United States|Renal Associates of Baton Rouge, Baton Rouge, Louisiana, United States|Tufts Medical Center, Boston, Massachusetts, United States|Washington University School of Medicine, St. Louis, Missouri, United States|Washington University, St. Louis, Missouri, United States|New York University - HHC CTSI Clinical Research Center, New York, New York, United States|Doylestown Hospital MRI, Doylestown, Pennsylvania, United States|Doylestown Hospital, Doylestown, Pennsylvania, United States|Nephrology/Hypertension Specialists, Doylestown, Pennsylvania, United States|Renal Associates, PA, San Antonio, Texas, United States|San Antonio Kidney Disease Center Physicians Group, P.L.L.C., San Antonio, Texas, United States|University of Virginia Health System - Nephrology, Charlottesville, Virginia, United States|University of Virginia Health System, Charlottesville, Virginia, United States|The Polyclinic, Seattle, Washington, United States|Renal Remission and Hypertension Clinic, Silverdale, Washington, United States|Monash Medical Centre, Clayton, Victoria, Australia|Toronto General Hospital, Toronto, Ontario, Canada|Hopital du Sacre-Coeur de Montreal, Montreal, Quebec, Canada|Klinika gerontologicka a metabolicka, Hradec Kralove, Czech Republic|Krajska nemocnice Liberec, Liberec 1, Czech Republic|Nemocnice Nove Mesto na Morave, Nove Mesto na Morave, Czech Republic|Fakultni poliklinika VFN, Praha 2, Czech Republic|Vseobecna fakultni nemocnice v Praze, Praha 2, Czech Republic|Pharmaceutical Research Associates CZ, s.r.o., Praha 7, Czech Republic|PRA Magyarorszag Kft. Klinikai Farmakologiai Vizsgalohely, Budapest, Hungary|Fovarosi Onkormanyzat Szent Imre Korhaz BSZMI Klinikai Farmakologiai Reszlege, Budapest, Hungary|Szegedi Tudomanyegyetem, AOK, Szent-Gyorgyi Albert Klinikai Kozpont I.sz.Belgyogyaszati Klinika, Szeged, Hungary|Istituti Ospitalieri di Cremona, Cremona, Italy|A.O. Universitaria Ospedali Riuniti di Foggia, Foggia, Italy|Seoul National University Hospital, Department of Internal Medicine, Seoul, Korea, Republic of|Samsung Medical Center/Division of Nephrology, Seoul, Korea, Republic of|Eulji General Hospital, Seoul, Korea, Republic of|Vilnius University Hospital Santariskiu Clinic, Public Institution, Centre of Nephrology, Vilnius, Lithuania|Spitalul Clinic Republican, Chisinau, Moldova, Republic of|Zaklad Diagnostyki Chorob Serca, II Katedra Kardiologii, Gdansk, Poland|Klinika Nefrologii, Transplantologii i Chorob Wewnetrznych, Gdansk, Poland|Specjalistyczny Szpital Zachodni im. Jana Pawla II w Grodzisku Mazowieckim, Grodzisk Mazowiecki, Poland|Krakowskie Centrum Medyczne NZOZ, Krakow, Poland|Klinika Nefrologii, Hipertensjologii i Chorob Wewnetrznych Katedry Chorob Wewnetrznych UWM, Olsztyn, Poland|Pracownia Echokardiografii, Oddzial Kardiologii, Olsztyn, Poland|Centrum Medyczne Aesculap, Radom, Poland|Klinika Kardiologii, Szczecin, Poland|Klinika Nefrologii, Transplantologii i Chorob Wewnetrznych, Szczecin, Poland|Szpital Powiatowy w Wolominie, Wolomin, Poland|SPZOZ Akademicki Szpital Kliniczny im. J. Mikulicza - Radeckiego, Wroclaw, Poland|Spitalul Clinic Municipal Dr. Gavril Curteanu Oradea, Oradea, jud. Bihor, Romania|Spitalul Clinic Dr. C. I. Parhon Iasi, Iasi, jud. Iasi, Romania|Institutul Clinic Fundeni, Centrul de Medicina Interna-Nefrologie, Bucuresti, Romania|SPITALUL CLINIC JUDETEAN DE URGENTA TIMISOARA ,Clinica de Nefrologie, Timisoara, Romania|Univerzitna nemocnica Bratislava, Limbova 5, Bratislava, Slovakia|SUMMIT CLINICAL RESEARCH, s.r.o., Oddelenie internej mediciny a klinickej farmakologie, Bratislava, Slovakia|Hospital Universitari de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Clinic I Provincial de Barcelona, Barcelona, Spain|Sahlgrenska Universitetssjukhuset, Njurmedicin, Goteborg, Sweden|Karolinska Universitetssjukhuset Huddinge, Stockholm, Sweden|Karolinska Universitetssjukhuset Solna, Stockholm, Sweden|Universitaetsspital Zuerich, Zuerich, Switzerland|Istanbul University, Istanbul Tip Fakultesi, Istanbul, Capa, Turkey|Dokuz Eylul Universitesi Hastanesi Ic Hastaliklari Anabilim Dali, Izmir, Inciralti/ Narlidere, Turkey|Morriston Hospital, Swansea, Wales, United Kingdom|BHF Glasgow Cardiovascular Research Centre, University of Glasgow, Glasgow, United Kingdom|Renal and Urology Directorate, Leicester General Hospital, Leicester, United Kingdom","https://ClinicalTrials.gov/show/NCT01233869"
4,"Metformin as a Novel Therapy for Autosomal Dominant Polycystic Kidney Disease","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: Metformin|Other: Placebo","University of Maryland Medical Center, Baltimore, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02656017"
5,"Long Term Safety of Immediate-release Tolvaptan in Subjects With Autosomal Dominant Polycystic Kidney Disease","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: Tolvaptan","Birmingham, Alabama, United States|Huntsville, Alabama, United States|Mobile, Alabama, United States|Phoenix, Arizona, United States|Tempe, Arizona, United States|Tucson, Arizona, United States|La Jolla, California, United States|Los Angeles, California, United States|Los Angeles, California, United States|San Francisco, California, United States|Stanford, California, United States|Aurora, Colorado, United States|Denver, Colorado, United States|Denver, Colorado, United States|New Haven, Connecticut, United States|Hudson, Florida, United States|Jacksonville, Florida, United States|Miami, Florida, United States|Ocala, Florida, United States|Port Charlotte, Florida, United States|Tampa, Florida, United States|Atlanta, Georgia, United States|Augusta, Georgia, United States|Meridian, Idaho, United States|Chicago, Illinois, United States|Chicago, Illinois, United States|Kansas City, Kansas, United States|Wichita, Kansas, United States|Baton Rouge, Louisiana, United States|Baltimore, Maryland, United States|Baltimore, Maryland, United States|Greenbelt, Maryland, United States|Rockville, Maryland, United States|Boston, Massachusetts, United States|Springfield, Massachusetts, United States|Detroit, Michigan, United States|Grand Rapids, Michigan, United States|Kalamazoo, Michigan, United States|Pontiac, Michigan, United States|Roseville, Michigan, United States|Rochester, Minnesota, United States|Saint Louis, Missouri, United States|Las Vegas, Nevada, United States|Reno, Nevada, United States|Eatontown, New Jersey, United States|Voorhees, New Jersey, United States|Buffalo, New York, United States|Laurelton, New York, United States|Mineola, New York, United States|New York, New York, United States|New York, New York, United States|Asheville, North Carolina, United States|Chapel Hill, North Carolina, United States|Charlotte, North Carolina, United States|Winston-Salem, North Carolina, United States|Fargo, North Dakota, United States|Akron, Ohio, United States|Cincinnati, Ohio, United States|Cincinnati, Ohio, United States|Cleveland, Ohio, United States|Columbus, Ohio, United States|Portland, Oregon, United States|Bethlehem, Pennsylvania, United States|Doylestown, Pennsylvania, United States|Philadelphia, Pennsylvania, United States|Charleston, South Carolina, United States|Columbia, South Carolina, United States|Orangeburg, South Carolina, United States|Knoxville, Tennessee, United States|Nashville, Tennessee, United States|Nashville, Tennessee, United States|Arlington, Texas, United States|Houston, Texas, United States|Houston, Texas, United States|McAllen, Texas, United States|Burlington, Vermont, United States|Arlington, Virginia, United States|Charlottesville, Virginia, United States|Norfolk, Virginia, United States|Wenatchee, Washington, United States|Morgantown, West Virginia, United States|Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Junin, Buenos Aires, Argentina|Pergamino, Buenos Aires, Argentina|Pilar, Buenos Aires, Argentina|Córdoba, Argentina|Córdoba, Argentina|Córdoba, Argentina|Camperdown, New South Wales, Australia|New Lambton Heights, New South Wales, Australia|St Leonards, New South Wales, Australia|Westmead, New South Wales, Australia|Woolloongabba, Queensland, Australia|Adelaide, South Australia, Australia|Launceston, Tasmania, Australia|Parkville, Victoria, Australia|Reservoir, Victoria, Australia|Richmond, Victoria, Australia|Perth, Western Australia, Australia|Aalst, Belgium|Bruxelles, Belgium|Bruxelles, Belgium|Edegem, Belgium|Gent, Belgium|Kortrijk, Belgium|Leuven, Belgium|Liège, Belgium|Edmonton, Alberta, Canada|Mount Pearl, Newfoundland and Labrador, Canada|Scarborough, Ontario, Canada|Toronto, Ontario, Canada|Toronto, Ontario, Canada|Montreal, Quebec, Canada|Brno, Czechia|Ceske Budejovice, Czechia|Hradec Kralove, Czechia|Jihlava, Czechia|Jilemnice, Czechia|Liberec, Czechia|Ostrava, Czechia|Praha 2, Czechia|Praha 4, Czechia|Aalborg, Denmark|Aarhus N, Denmark|Holstebro, Denmark|Heidelberg, Baden Wuerttemberg, Germany|Muenchen, Bayern, Germany|Nuernberg, Bayern, Germany|Wiesbaden, Hessen, Germany|Duesseldorf, Nordrhein Westfalen, Germany|Essen, Nordrhein Westfalen, Germany|Dresden, Sachsen, Germany|Berlin, Germany|Budapest, Hungary|Pecs, Hungary|Szeged, Hungary|Ashkelon, Israel|Jerusalem, Israel|Nahariya, Israel|Petach Tikva, Israel|Ramat-Gan, Israel|Tel Aviv, Israel|Montichiari, Brescia, Italy|Bari, Italy|Lecco, Italy|Milano, Italy|Milano, Italy|Modena, Italy|Napoli, Italy|Pavia, Italy|Amsterdam, Netherlands|Groningen, Netherlands|Nijmegen, Netherlands|Bergen, Norway|Ciechanow, Poland|Gdansk, Poland|Golub Dobrzyn, Poland|Krakow, Poland|Lodz, Poland|Lodz, Poland|Lublin, Poland|Szczecin, Poland|Warszawa, Poland|Wroclaw, Poland|Bucuresti, Romania|Bucuresti, Romania|Bucuresti, Romania|Oradea, Romania|Kemerovo, Russian Federation|Krasnoyarsk, Russian Federation|Saint-Petersburg, Russian Federation|Saint-Petersburg, Russian Federation|Yaroslavl, Russian Federation|Pretoria, Gauteng, South Africa|Durban, KwaZulu-Natal, South Africa|Cape Town, Western Cape, South Africa|Barcelona, Spain|Ciudad Real, Spain|Madrid, Spain|Madrid, Spain|Valencia, Spain|Göteborg, Sweden|Linköping, Sweden|Stockholm, Sweden|Stockholm, Sweden|Uppsala, Sweden|Belfast, County Antrim, United Kingdom|Exeter, Devon, United Kingdom|Hull, East Riding Of Yorkshire, United Kingdom|Brighton, East Sussex, United Kingdom|London, Greater London, United Kingdom|London, Greater London, United Kingdom|London, Greater London, United Kingdom|Manchester, Greater Manchester, United Kingdom|Salford, Greater Manchester, United Kingdom|Stevenage, Hertfordshire, United Kingdom|Inverness, Highland Region, United Kingdom|Leicester, Leicestershire, United Kingdom|Edinburgh, Lothian Region, United Kingdom|Liverpool, Norfolk, United Kingdom|Sheffield, South Yorkshire, United Kingdom|Stoke on Trent, Staffordshire, United Kingdom|Newcastle upon Tyne, Tyne & Wear, United Kingdom|Coventry, Warwickshire, United Kingdom|Birmingham, West Midlands, United Kingdom|Middlesbrough, United Kingdom|Swansea, United Kingdom","https://ClinicalTrials.gov/show/NCT02251275"
6,"Daily Caloric Restriction and Intermittent Fasting in Overweight and Obese Adults With Autosomal Dominant Polycystic Kidney Disease","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Behavioral: Weight Loss","Kristen Nowak, Aurora, Colorado, United States","https://ClinicalTrials.gov/show/NCT03342742"
7,"A Safety, Pharmacokinetic & Dose-Escalation Study of KD019 in Subjects With Autosomal Dominant Polycystic Kidney Disease","Completed","No Results Available","Polycystic Kidney, Autosomal Dominant","Drug: KD019 (tesevatinib)","UCLA Medical Center, Los Angeles, California, United States|University of Colorado Denver, Denver, Colorado, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Mayo Clinic, Rochester, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|New York University School of Medicine, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|Clinical Advancement Center, PLLC, San Antonio, Texas, United States|University of Virginia - Nephrology Clinical Research Center, Charlottesville, Virginia, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT01559363"
8,"Effect of Statin Therapy on Disease Progression in Autosomal Dominant Polycystic Kidney Disease (ADPKD)","Completed","Has Results","Polycystic Kidney, Autosomal Dominant","Drug: pravastatin|Drug: Placebo","University of Colorado at Denver and Health Sciences Center, Denver, Colorado, United States","https://ClinicalTrials.gov/show/NCT00456365"
9,"The Effect of High and Low Sodium Intake on Urinary Aquaporin-2 in Autosomal Dominant Polycystic Kidney Disease","Completed","No Results Available","Polycystic Kidney, Autosomal Dominant","Behavioral: High Sodium Diet|Behavioral: Low Sodium Diet|Behavioral: Hypertonic saline infusion","Department of Medical Research, Holstebro Hospital, Holstebro, Denmark","https://ClinicalTrials.gov/show/NCT00410007"
10,"A Medical Research Study Designed to Determine if Venglustat Can be a Future Treatment for ADPKD Patients","Terminated","No Results Available","Polycystic Kidney, Autosomal Dominant","Drug: Venglustat GZ402671|Drug: Placebo","Investigational Site Number 8400002, Birmingham, Alabama, United States|Investigational Site Number 8400017, Los Angeles, California, United States|Investigational Site Number 8400001, San Francisco, California, United States|Investigational Site Number 8400008, Aurora, Colorado, United States|Investigational Site Number 8400010, New Haven, Connecticut, United States|Investigational Site Number 8400004, Atlanta, Georgia, United States|Investigational Site Number 8400007, Chicago, Illinois, United States|Investigational Site Number 8400014, Iowa City, Iowa, United States|Investigational Site Number 8400003, Kansas City, Kansas, United States|Investigational Site Number 8400021, Baltimore, Maryland, United States|Investigational Site Number 8400016, Boston, Massachusetts, United States|Investigational Site Number 8400020, Rochester, Minnesota, United States|Investigational Site Number 8400027, Kansas City, Missouri, United States|Investigational Site Number 8400011, Philadelphia, Pennsylvania, United States|Investigational Site Number 8400015, San Antonio, Texas, United States|Investigational Site Number 8400019, Morgantown, West Virginia, United States|Investigational Site Number 8400005, Madison, Wisconsin, United States|Investigational Site Number 8400006, Milwaukee, Wisconsin, United States|Investigational Site Number 0320001, Buenos Aires, Argentina|Investigational Site Number 0320003, Santa Fe, Argentina|Investigational Site Number 0360002, Herston, Australia|Investigational Site Number 0360003, Nedlands, Australia|Investigational Site Number 0360001, Westmead, Australia|Investigational Site Number 0400001, Graz, Austria|Investigational Site Number 0400004, Wien, Austria|Investigational Site Number 0560001, Bruxelles, Belgium|Investigational Site Number 0560002, Leuven, Belgium|Investigational Site Number 1240002, Edmonton, Canada|Investigational Site Number 1240003, Montreal, Canada|Investigational Site Number 1240001, Toronto, Canada|Investigational Site Number 1560005, Beijing, China|Investigational Site Number 1560004, Chengdu, China|Investigational Site Number 1560009, Guangzhou, China|Investigational Site Number 1560006, Hangzhou, China|Investigational Site Number 1560002, Hefei, China|Investigational Site Number 1560007, Nanjing, China|Investigational Site Number 1560008, Nanjing, China|Investigational Site Number 1560001, Shanghai, China|Investigational Site Number 1560003, Shenyang, China|Investigational Site Number 2030001, Praha 2, Czechia|Investigational Site Number 2030002, Praha 4, Czechia|Investigational Site Number 2080001, Copenhagen, Denmark|Investigational Site Number 2080002, Roskilde, Denmark|Investigational Site Number 2500004, Bordeaux, France|Investigational Site Number 2500003, Brest, France|Investigational Site Number 2500002, Paris, France|Investigational Site Number 2500001, Toulouse, France|Investigational Site Number 2760001, Berlin, Germany|Investigational Site Number 2760002, Dresden, Germany|Investigational Site Number 2760010, Dresden, Germany|Investigational Site Number 2760007, Düsseldorf, Germany|Investigational Site Number 2760009, Essen, Germany|Investigational Site Number 2760005, Hannover, Germany|Investigational Site Number 2760003, Köln, Germany|Investigational Site Number 2760011, Leipzig, Germany|Investigational Site Number 2760012, Mainz, Germany|Investigational Site Number 2760004, München, Germany|Investigational Site Number 3760003, Ashdod, Israel|Investigational Site Number 3760002, Reẖovot, Israel|Investigational Site Number 3800001, Brescia, Italy|Investigational Site Number 3800002, Milano, Italy|Investigational Site Number 3800003, Napoli, Italy|Investigational Site Number 3920002, Bunkyo-Ku, Japan|Investigational Site Number 3920005, Kamakura-Shi, Japan|Investigational Site Number 3920006, Kawasaki-Shi, Japan|Investigational Site Number 3920010, Kyoto-Shi, Japan|Investigational Site Number 3920009, Nagoya-Shi, Japan|Investigational Site Number 3920003, Niigata-Shi, Japan|Investigational Site Number 3920007, Osaka-Shi, Japan|Investigational Site Number 3920001, Sapporo-Shi, Japan|Investigational Site Number 3920004, Shinjuku-Ku, Japan|Investigational Site Number 3920008, Toyoake-Shi, Japan|Investigational Site Number 4100001, Seoul, Korea, Republic of|Investigational Site Number 4100002, Seoul, Korea, Republic of|Investigational Site Number 5280003, Amsterdam, Netherlands|Investigational Site Number 5280001, Groningen, Netherlands|Investigational Site Number 5280002, Nijmegen, Netherlands|Investigational Site Number 6160003, Warszawa, Poland|Investigational Site Number 6160002, Wrocław, Poland|Investigational Site Number 6160001, Łódź, Poland|Investigational Site Number 6200004, Almada, Portugal|Investigational Site Number 6200005, Carnaxide, Portugal|Investigational Site Number 6200001, Loures, Portugal|Investigational Site Number 6420002, Bucuresti, Romania|Investigational Site Number 6420004, Oradea, Romania|Investigational Site Number 6420001, Timisoara, Romania|Investigational Site Number 7240003, Barcelona, Spain|Investigational Site Number 7240001, Barcelona, Spain|Investigational Site Number 7240002, Madrid / Madrid, Spain|Investigational Site Number 1580001, Taichung, Taiwan|Investigational Site Number 1580002, Taipei, Taiwan|Investigational Site Number 7920001, Istanbul, Turkey|Investigational Site Number 7920002, Kayseri, Turkey|Investigational Site Number 7920003, Kocaeli, Turkey|Investigational Site Number 8260001, Sheffield, United Kingdom","https://ClinicalTrials.gov/show/NCT03523728"
