"","ID","ApplNo.x","ProductNo.x","Form","Strength","ReferenceDrug","DrugName","ActiveIngredient","ReferenceStandard","MarketingStatusID","ApplNo.y","ProductNo.y","MarketingStatusDescription"
"1","10040_18",10040,18,"SOLUTION;URETHRAL","30%",1,"CYSTOGRAFIN","DIATRIZOATE MEGLUMINE","0",1,10040,18,"Prescription"
"2","10104_3",10104,3,"TABLET;ORAL","5MG",1,"MEPHYTON","PHYTONADIONE","1",1,10104,3,"Prescription"
"3","101063_1",101063,1,"VIAL","10,000IU/VIAL",0,"ELSPAR","ASPARAGINASE","",1,101063,1,"Prescription"
"4","10187_10",10187,10,"TABLET;ORAL","20MG",1,"RITALIN","METHYLPHENIDATE HYDROCHLORIDE","1",1,10187,10,"Prescription"
"5","101995_1",101995,1,"OINTMENT;TOPICAL","250U/GRAM",0,"SANTYL","COLLAGENASE","",1,101995,1,"Prescription"
"6","103000_1",103000,1,"VIAL; SINGLE-USE","50 UNITS/VIAL",0,"BOTOX","OnabotulinumtoxinA","",1,103000,1,"Prescription"
"7","103132_1",103132,1,"VIAL","10MIU/VIAL",0,"INTRON A","INTERFERON ALFA-2B","",1,103132,1,"Prescription"
"8","103158_1",103158,1,"VIAL","5MIU/VIAL",0,"ALFERON N INJECTION","INTERFERON ALFA-N3","",1,103158,1,"Prescription"
"9","103172_1",103172,1,"VIAL; SINGLE-USE","100MG/VIAL",0,"ACTIVASE","ALTEPLASE","",1,103172,1,"Prescription"
"10","103234_1",103234,1,"VIAL; SINGLE-USE","10,000U/ML",0,"EPOGEN/PROCRIT","EPOETIN ALFA","",1,103234,1,"Prescription"
"11","103293_1",103293,1,"VIAL","22MIU/VIAL",0,"PROLEUKIN","ALDESLEUKIN","",1,103293,1,"Prescription"
"12","103353_1",103353,1,"VIAL","300MCG/1ML",0,"NEUPOGEN","FILGRASTIM","",1,103353,1,"Prescription"
"13","103362_1",103362,1,"VIAL","250UG/ML",0,"LEUKINE","SARGRAMOSTIM","",1,103362,1,"Prescription"
"14","103411_1",103411,1,"VIAL","750IU/VIAL",0,"ONCASPAR","PEGASPARGASE","",1,103411,1,"Prescription"
"15","103471_1",103471,1,"VIAL; SUBCUTANEOUS","0.3 MG",0,"BETASERON","INTERFERON BETA-1B","",1,103471,1,"Prescription"
"16","103532_1",103532,1,"VIAL","1MG/ML",0,"PULMOZYME","DORNASE ALFA","",1,103532,1,"Prescription"
"17","103575_1",103575,1,"INJECTABLE; INJECTION","2MG/ML",0,"REOPRO","ABCIXIMAB","",1,103575,1,"Prescription"
"18","103608_1",103608,1,"VIAL; INTRAVENOUS","05.MG/ML",0,"PROSTASCINT","CAPROMAB PENDETIDE","",1,103608,1,"Prescription"
"19","103628_1",103628,1,"VIAL","30UG/ML",0,"AVONEX","INTERFERON BETA-1A","",1,103628,1,"Prescription"
"20","103691_1",103691,1,"GEL; TOPICAL","100UG/G",0,"REGRANEX","BECAPLERMIN","",1,103691,1,"Prescription"
"21","103705_1",103705,1,"SOLUTION;INTRAVENOUS","100MG/10ML (10MG/ML)",0,"RITUXAN","RITUXIMAB","",1,103705,1,"Prescription"
"22","103764_1",103764,1,"VIAL; SINGLE-USE","10MG",0,"SIMULECT","BASILIXIMAB","",1,103764,1,"Prescription"
"23","103767_1",103767,1,"VIAL","150UG/ML",0,"ONTAK","DENILEUKIN DIFTITOX","",1,103767,1,"Prescription"
"24","103770_1",103770,1,"VIAL","100MG/VIAL",0,"SYNAGIS","PALIVIZUMAB","",1,103770,1,"Prescription"
"25","103772_1",103772,1,"VIAL","100MG",0,"REMICADE","INFLIXIMAB","",1,103772,1,"Prescription"
"26","103786_1",103786,1,"VIAL","18.8MG/VIAL",0,"RETAVASE","RETEPLASE","",1,103786,1,"Prescription"
"27","10379_1",10379,1,"TABLET;ORAL","EQ 0.005MG BASE",1,"CYTOMEL","LIOTHYRONINE SODIUM","0",1,10379,1,"Prescription"
"28","103792_1",103792,1,"VIAL; INTRAVENOUS","21MG/ML",0,"HERCEPTIN","TRASTUZUMAB","",1,103792,1,"Prescription"
"29","103795_1",103795,1,"VIAL; SUBCUTANEOUS","25MG/VIAL",0,"ENBREL","ETANERCEPT","",1,103795,1,"Prescription"
"30","103836_1",103836,1,"VIAL; SINGLE-USE","100UG/0.5ML",0,"ACTIMMUNE","INTERFERON GAMMA-1B","",1,103836,1,"Prescription"
"31","103846_1",103846,1,"VIAL","5000IU/VIAL",0,"MYOBLOC","Botulinum Toxin Type B","",1,103846,1,"Prescription"
"32","103909_1",103909,1,"VIAL","50MG/VIAL",0,"TNKASE","TENECTEPLASE","",1,103909,1,"Prescription"
"33","103946_1",103946,1,"VIAL; INTRAVENOUS","1.5MG/VIAL",0,"ELITEK","RASBURICASE","",1,103946,1,"Prescription"
"34","103948_1",103948,1,"VIAL; INTRAVENOUS","10MG/ML",0,"CAMPATH","ALEMTUZUMAB","0",1,103948,1,"Prescription"
"35","103949_1",103949,1,"VIAL","50UG/0.5ML",0,"PEGINTRON","PEGINTERFERON ALFA-2B","",1,103949,1,"Prescription"
"36","103950_1",103950,1,"VIAL; SUBCUTANEOUS","10MIU/VIAL",0,"KINERET","ANAKINRA","",1,103950,1,"Prescription"
"37","103951_1",103951,1,"VIAL; INTRAVENOUS","25UG/ML",0,"ARANESP","DARBEPOETIN ALFA","",1,103951,1,"Prescription"
"38","103964_1",103964,1,"VIAL; SUBCUTANEOUS","180UG/VIAL",0,"PEGASYS","PEGINTERFERON ALFA-2A","",1,103964,1,"Prescription"
"39","103976_1",103976,1,"VIAL","150MG/VIAL",0,"XOLAIR","OMALIZUMAB","",1,103976,1,"Prescription"
"40","103979_1",103979,1,"VIAL; INTRAVENOUS","5MG/VIAL",0,"FABRAZYME","AGALSIDASE BETA","",1,103979,1,"Prescription"
"41","10402_1",10402,1,"INJECTABLE;INJECTION","25MG/VIAL",1,"PREMARIN","ESTROGENS, CONJUGATED","1",1,10402,1,"Prescription"
"42","10515_1",10515,1,"INJECTABLE;INJECTION","0.2MG/ML",1,"ISUPREL","ISOPROTERENOL HYDROCHLORIDE","1",1,10515,1,"Prescription"
"43","10596_8",10596,8,"CAPSULE;ORAL","300MG",1,"CELONTIN","METHSUXIMIDE","1",1,10596,8,"Prescription"
"44","10669_2",10669,2,"TABLET;ORAL","2MG",1,"LEUKERAN","CHLORAMBUCIL","1",1,10669,2,"Prescription"
