"ingredients","concept_codes","concept_ids","latest_xml_id","latest_zip_id",
"17-alpha-hydroxyprogesterone","5542","19077143","cb677193-19fa-48ad-98dc-9fb76dfcfec9","20201113_a1998c1d-8337-4f00-8dcb-af3b54d39b77"
"6-aminocaproic acid","99","1369939","2612ee97-1723-40f2-99e6-3a736f63200f","20220129_2612ee97-1723-40f2-99e6-3a736f63200f"
"abacavir","190521","1736971","d5cbb013-7d8f-27b4-e053-2995a90a4474","20220118_a2f06528-f3c5-2466-e053-2995a90ae18a"
"abacavir, lamivudine","190521, 68244","1736971, 1704183","46fc1849-f45d-4eb7-af55-5e250b274087","20220204_1d8e7bb9-8624-4739-9719-fe25109d6365"
"abaloparatide","1921069","1594148","98a0d818-af92-440a-8229-9bb5c36958e3","20211230_712143d9-e21e-4013-bb3b-3426a21060a8"
"Abametapir","2475532","739655","79de62dc-8192-24c3-df79-2e75a4b6c85b","20220129_4fe38e95-8738-a28f-4079-43eff7318cb9"
"abatacept","614391","1186087","38ad8cd8-f402-42bc-9e62-faeded0b93d7","20211225_0836c6ac-ee37-5640-2fed-a3185a0b16eb"
"abemaciclib","1946825","792649","977140a1-3e11-4020-b744-4edad117cf97","20211023_be4bc0de-0fdc-4d46-8d25-be43c79e6a06"
"abiraterone","1100072","40239056","42d5baa8-aca7-49d8-9c24-9d87b707ec20","20220307_42d5baa8-aca7-49d8-9c24-9d87b707ec20"
"acalabrutinib","1986808","792764","d651b8f4-540e-4c1b-8fca-5b037f9339eb","20220329_dd4835ef-e1bc-4997-a399-1ffa2556fbfe"
"acamprosate","82819","19043959","ae6e79c0-a307-4888-b647-1b7be4cb9127","20220201_ae6e79c0-a307-4888-b647-1b7be4cb9127"
"acarbose","16681","1529331","db0d4450-e4dd-5ceb-e053-2995a90a4144","20220326_722ce9eb-8f7b-4651-a287-d53dd7ab3707"
"acebutolol","149","1319998","d5cbb013-7d91-27b4-e053-2995a90a4474","20220118_ff68a002-d46d-4f9f-0705-427844ea3655"
"acetaminophen","161","1125315","d92bd5a7-d41c-31d1-e053-2995a90a143a","20220302_d92be8ae-3173-0a9d-e053-2995a90abc63"
