"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"1","etifenin","HA1E","trt_cp","down",-0.353234322596518,2.85481163487185e-05,0.00276570337654138,-1.39140664505909,-93.6635430611334,2241,0,100,100,NA,"Compound used in hepatobiliary scans of the liver","170344","renal function diagnostic agent","","","","Preclinical"
"2","BRL-37344","HA1E","trt_cp","down",-0.35277521143462,2.85481163487185e-05,0.00276570337654138,-1.38959818455392,-96.6086568496207,2241,0,100,100,"ADRB1; ADRB2; ADRB3","Adrenergic receptor agonist","9841972","adrenergic receptor agonist","ADRB1, ADRB2, ADRB3","","","Phase 2"
"3","L-733060","HA1E","trt_cp","down",-0.350383273226871,2.9048578754222e-05,0.00276570337654138,-1.38017622721872,-95.3592146363231,2241,0,100,100,"TACR1","Tachykinin antagonist","132846","tachykinin antagonist","TACR1","","","Preclinical"
"4","geldanamycin","HA1E","trt_cp","down",-0.35027350373023,2.9048578754222e-05,0.00276570337654138,-1.37974383999789,-96.7425256581883,2241,0,100,100,"HSP90AA1; HSP90AB1; HSP90B1","HSP inhibitor","3460","HSP inhibitor","HSP90AA1","","","Preclinical"
"5","moexipril","HA1E","trt_cp","down",-0.346245944727777,3.01582997403383e-05,0.00276570337654138,-1.36387909526361,-91.1646586345381,2241,0,100,100,"ACE; ACE2","ACE inhibitor","91270","angiotensin converting enzyme inhibitor","ACE, ACE2","cardiology","hypertension","Launched"
"6","doxylamine","HA1E","trt_cp","down",-0.343628286819752,3.07457990859294e-05,0.00276570337654138,-1.35356801739058,-97.2780008924587,2241,0,100,100,"CHRM1; HRH1; NR1I3","Histamine receptor antagonist","3162","histamine receptor antagonist","HRH1","neurology/psychiatry","sedative","Launched"
"7","nafadotride","HA1E","trt_cp","down",-0.335620560395351,3.7882828173109e-05,0.00276570337654138,-1.32202520559125,-98.1704596162427,2241,-0.775693943038337,100,100,"DRD3","Dopamine receptor antagonist","3408722","dopamine receptor antagonist","DRD2, DRD3, HTR1A","","","Preclinical"
"8","vinpocetine","HA1E","trt_cp","down",-0.330841193220512,4.57814304860547e-05,0.00280524189255618,-1.30319905303233,-96.1624274877287,2241,0,100,100,"PDE1A; PDE1C; SCN10A","Phosphodiesterase inhibitor; Sodium channel blocker","5673","phosphodiesterase inhibitor, sodium channel blocker","PDE1A, PDE1C","neurology/psychiatry","stroke, senile dementia","Launched"
"9","PAC-1","HA1E","trt_cp","down",-0.330487153676965,4.80226316933093e-05,0.00283302703735266,-1.30180447458399,-92.5479696564034,2241,0,100,100,"CASP3","Caspase activator","135421197","caspase activator","CASP3","","","Phase 1"
"10","tyrphostin-AG-18","HA1E","trt_cp","down",-0.330146373833664,4.80226316933093e-05,0.00283302703735266,-1.30046212671988,-91.0754127621597,2241,0,100,100,"EGFR","EGFR inhibitor; Tyrosine kinase inhibitor","NotFound","EGFR inhibitor, tyrosine kinase inhibitor","EGFR","","","Preclinical"
"11","GW-583340","HA1E","trt_cp","down",-0.327615888091761,5.31360519234533e-05,0.00294207277372797,-1.29049442411774,-95.0468540829986,2241,0,100,100,"EGFR; ERBB2","EGFR inhibitor; ErbB2 inhibitor; Receptor tyrosine protein kinase inhibitor","5329480","EGFR inhibitor","EGFR, ERBB2","","","Preclinical"
"12","NVP-AUY922","HA1E","trt_cp","down",-0.32687666438939,5.60082709463426e-05,0.00303527841935156,-1.28758258711361,-93.7527889335118,2241,-1.16053916170119,100,100,"HSP90AA1; HSP90AA2; HSP90AB1; HSP90B1; TRAP1","HSP inhibitor","10096043","HSP inhibitor","HSP90AA1, HSP90AB1","","","Phase 2"
"13","CGP-57380","HA1E","trt_cp","down",-0.325651354525523,5.94027116097573e-05,0.00312704583589692,-1.28275603380953,-89.1566265060241,2241,-0.0236837033612593,100,100,"AURKB; LCK; MKNK1; MKNK2; SGK1","MAP kinase inhibitor","11644425","MAP kinase inhibitor","AURKB, LCK, MKNK1, MKNK2, SGK1","","","Preclinical"
"14","pizotifen","HA1E","trt_cp","down",-0.322412258991004,7.74193582078816e-05,0.00357576284000141,-1.26999708383666,-87.1039714413208,2241,0,100,100,"ADRA1B; ADRA1D; ADRA2B; ADRA2C; HTR1B; HTR1D; HTR2B","Serotonin receptor antagonist","27400","serotonin receptor antagonist","HTR1A, HTR2A, HTR2C","neurology/psychiatry","migraine headache","Launched"
"15","indirubin-3-monoxime","HA1E","trt_cp","down",-0.322349196933304,7.74193582078816e-05,0.00357576284000141,-1.26974867941919,-92.6372155287818,2241,0.0296065810996142,100,100,NA,NA,"3707","CDK inhibitor, glycogen synthase kinase inhibitor","CDK1, CDK2, CDK5, CDK5R1, GSK3B","","","Preclinical"
"16","JTE-907","HA1E","trt_cp","down",-0.321009257735108,8.28591669633538e-05,0.00367910712750521,-1.26447059576458,-90.8969210174029,2241,-0.0256096818854394,100,100,"CNR2","Cannabinoid receptor inverse agonist","9867770","cannabinoid receptor inverse agonist","CNR2","","","Phase 1"
"17","proadifen","HA1E","trt_cp","down",-0.315122727732063,0.000131708649587495,0.00483837146318379,-1.24128327664346,-94.0651494868362,2241,0,100,100,"NOS1","Nitric oxide synthase inhibitor","4910","nitric oxide synthase inhibitor","NOS1","","","Preclinical"
