"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"1","etoposide","HA1E","trt_cp","down",-0.474149341953596,2.28907152430274e-05,0.00126836081040662,-1.83619535225047,-99.330655957162,2241,-1.59656255771726,106,100,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602","topoisomerase inhibitor","TOP2A, TOP2B","oncology","non-small cell lung cancer (NSCLC)","Launched"
"2","amsacrine","HA1E","trt_cp","down",-0.468317192536219,2.315182606329e-05,0.00126836081040662,-1.81360971370525,-98.7505577867024,2241,-1.34823593625485,106,100,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179","topoisomerase inhibitor","KCNH2, TOP2A","hematologic malignancy","acute lymphoblastic leukemia (ALL)","Launched"
"3","pyrvinium-pamoate","HA1E","trt_cp","down",-0.450240066389435,2.39351585240781e-05,0.00126836081040662,-1.74360405920828,-99.2860330209728,2241,-1.49107629041136,106,100,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"4","pyrvinium-pamoate","NKDBA","trt_cp","down",-0.371329649076114,2.73731176575365e-05,0.00126836081040662,-1.25607650094542,NA,229,-1.49107629041136,106,100,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"5","irinotecan","HA1E","trt_cp","down",-0.363907050135885,2.77212654178868e-05,0.00126836081040662,-1.40926998096748,-96.7425256581883,2241,-1.18596456679013,106,100,"ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT","Topoisomerase inhibitor","60838","topoisomerase inhibitor","TOP1, TOP1MT","oncology","colorectal cancer","Launched"
"6","methylene-blue","HA1E","trt_cp","down",-0.360473142753614,2.78953392980619e-05,0.00126836081040662,-1.39597179784779,-93.4850513163766,2241,-1.25619121359377,106,100,"ACHE; MAPT","Guanylyl cyclase inhibitor; Monoamine oxidase inhibitor; Nitric oxide production inhibitor; Tau aggregation inhibitor","4139","guanylyl cyclase inhibitor, nitric oxide production inhibitor","ACHE","hematology","methemoglobinemia","Launched"
"7","perhexiline","HA1E","trt_cp","down",-0.358033012116767,2.79823762381494e-05,0.00126836081040662,-1.38652212421584,-90.9415439535921,2241,-1.37233221315809,106,100,"CPT1A; CPT2; KCNH2","Carnitine palmitoyltransferase inhibitor","5284439","carnitine palmitoyltransferase inhibitor","CPT1A","cardiology","angina pectoris","Launched"
"8","ixazomib","NKDBA","trt_cp","down",-0.357573571834736,2.79823762381494e-05,0.00126836081040662,-1.20954457059438,NA,229,-1.14828307344731,106,100,"PSMB5",NA,"25183872","proteasome inhibitor","","hematologic malignancy","multiple myeloma","Launched"
"9","niclosamide","HA1E","trt_cp","down",-0.345488092182267,3.03976513255791e-05,0.00126836081040662,-1.33794054529142,-85.9437751004016,2241,-1.10225499687337,106,100,"STAT3","DNA replication inhibitor; STAT inhibitor","4477","DNA replication inhibitor, STAT inhibitor","STAT3","infectious disease","tapeworm","Launched"
"10","vorinostat","NKDBA","trt_cp","down",-0.338890558648499,3.43795913345848e-05,0.00128975387703851,-1.14634656341,NA,229,-1.1693207876165,106,100,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"11","alprenolol","HA1E","trt_cp","down",-0.315114509794686,0.000131708649587495,0.00316073248064904,-1.2203155147863,-89.1566265060241,2241,0,106,100,"ADCY10; ADRB1; ADRB2; ADRB3","Adrenergic receptor antagonist","2119","adrenergic receptor antagonist","ADRB1, ADRB2","cardiology","angina pectoris","Launched"
"12","thiothixene","HA1E","trt_cp","down",-0.31194095044469,0.000167807220488809,0.00380639122644803,-1.208025557988,-81.3922356091031,2241,0,106,100,"DRD1; HRH1","Dopamine receptor antagonist","6444849","dopamine receptor antagonist","DRD1, DRD2, HRH1, HTR2A","neurology/psychiatry","schizophrenia","Launched"
"13","vorinostat","HA1E","trt_cp","down",-0.309543527030388,0.000200206721436402,0.00434200098647064,-1.19874127276136,-81.5261044176707,2241,-1.1693207876165,106,100,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"14","forskolin","NKDBA","trt_cp","down",-0.306197091017825,0.000288462178685184,0.00582962527865274,-1.03575615801824,NA,229,-0.326924305053482,106,100,"ADCY1; ADCY2; ADCY4; ADCY5; ADCY6; ADCY7; GNAL; GNAS","Adenylyl cyclase activator","3413","adenylyl cyclase activator","ADCY2, ADCY5, GNAS","","","Launched"
"15","estradiol-cypionate","HA1E","trt_cp","down",-0.301679089983559,0.000416711109904199,0.0078452993718793,-1.16828537738048,-88.7996430165105,2241,-0.0225235323306348,106,100,"ESR1","Estrogen receptor agonist","9403","estrogen receptor agonist","ESR1","endocrinology","hypoestrogenism, menopause","Launched"
"16","vinpocetine","HA1E","trt_cp","down",-0.299334505929962,0.000548572074136847,0.0098017800307282,-1.15920571837592,-89.6028558679161,2241,0,106,100,"PDE1A; PDE1C; SCN10A","Phosphodiesterase inhibitor; Sodium channel blocker","5673","phosphodiesterase inhibitor, sodium channel blocker","PDE1A, PDE1C","neurology/psychiatry","stroke, senile dementia","Launched"
"17","nortriptyline","HA1E","trt_cp","down",-0.295985397913922,0.000722254288081566,0.0123344177120314,-1.14623593010647,-73.7170905845605,2241,-1.14763440930313,106,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; HRH1; HTR6; KCNJ10; PGRMC1; PIK3CD; SIGMAR1; SLC6A2; SLC6A4","Tricyclic antidepressant","441358","tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, KCNJ10, PGRMC1, SIGMAR1, SLC6A2, SLC6A4","neurology/psychiatry","depression","Launched"
