"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","MF","GO:1901338","catecholamine binding","8/16","329/22568",2.17916695285701e-11,6.48388305933372e-09,2.52042358391425e-09,"amisulpride/amitriptyline/bromocriptine/fluphenazine/imipramine/mirtazapine/nicotine/perphenazine",8
"2","MF","GO:0035240","dopamine binding","7/16","195/22568",3.4572239834531e-11,8.9484480771711e-09,3.47845255177255e-09,"amisulpride/bromocriptine/fluphenazine/imipramine/mirtazapine/nicotine/perphenazine",7
"3","MF","GO:0004993","G protein-coupled serotonin receptor activity","8/16","389/22568",8.27528192912409e-11,1.35279082483471e-08,5.25858635606944e-09,"amisulpride/amitriptyline/bromocriptine/fluoxetine/fluphenazine/imipramine/mirtazapine/perphenazine",8
"4","MF","GO:0099589","serotonin receptor activity","8/16","389/22568",8.27528192912409e-11,1.35279082483471e-08,5.25858635606944e-09,"amisulpride/amitriptyline/bromocriptine/fluoxetine/fluphenazine/imipramine/mirtazapine/perphenazine",8
"5","MF","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","8/16","412/22568",1.3059813784846e-10,1.84380825526053e-08,7.16727579484132e-09,"amitriptyline/crizotinib/diltiazem/fenofibrate/fluoxetine/fluvastatin/nicotine/paclitaxel",8
"6","MF","GO:0004952","dopamine neurotransmitter receptor activity","6/16","118/22568",1.37894553629636e-10,1.86217601553761e-08,7.23867519511179e-09,"amisulpride/bromocriptine/fluphenazine/imipramine/mirtazapine/perphenazine",6
"7","MF","GO:0004969","histamine receptor activity","6/16","135/22568",3.12322390404852e-10,3.2335778153249e-08,1.25696063787497e-08,"amitriptyline/bromocriptine/fluphenazine/imipramine/mirtazapine/perphenazine",6
"8","MF","GO:0043176","amine binding","7/16","277/22568",4.04974205808451e-10,3.93078088512828e-08,1.52797833573123e-08,"amitriptyline/bromocriptine/diltiazem/fluoxetine/fluphenazine/imipramine/mirtazapine",7
"9","MF","GO:0051378","serotonin binding","7/16","277/22568",4.04974205808451e-10,3.93078088512828e-08,1.52797833573123e-08,"amitriptyline/bromocriptine/diltiazem/fluoxetine/fluphenazine/imipramine/mirtazapine",7
"10","MF","GO:0001965","G-protein alpha-subunit binding","7/16","282/22568",4.58818162985195e-10,4.19143886538828e-08,1.62930164998148e-08,"amitriptyline/bromocriptine/fluoxetine/fluphenazine/imipramine/mirtazapine/perphenazine",7
"11","MF","GO:0008391","arachidonic acid monooxygenase activity","7/16","307/22568",8.29298783830925e-10,6.96162708805095e-08,2.70613287355354e-08,"amitriptyline/crizotinib/fenofibrate/fluoxetine/fluvastatin/nicotine/paclitaxel",7
"12","MF","GO:0008392","arachidonic acid epoxygenase activity","7/16","307/22568",8.29298783830925e-10,6.96162708805095e-08,2.70613287355354e-08,"amitriptyline/crizotinib/fenofibrate/fluoxetine/fluvastatin/nicotine/paclitaxel",7
"13","MF","GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","7/16","330/22568",1.37061321972318e-09,1.0603816529257e-07,4.12192956215737e-08,"amitriptyline/fenofibrate/fluoxetine/fluvastatin/nicotine/paclitaxel/perphenazine",7
