"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"1","pyrvinium-pamoate","HA1E","trt_cp","down",-0.663456922900785,1.46657244047533e-05,0.000124761495428982,-1.88498013161875,-99.6430165104864,2241,-1.687942110243,100,31,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"2","etoposide","HA1E","trt_cp","down",-0.713393073578185,1.24898009025644e-05,0.000124761495428982,-2.02685618811518,-99.553770638108,2241,-1.78371547857225,100,31,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602","topoisomerase inhibitor","TOP2A","oncology","non-small cell lung cancer (NSCLC)","Launched"
"3","etoposide","HA1E","trt_cp","down",-0.713393073578185,1.24898009025644e-05,0.000124761495428982,-2.02685618811518,-99.553770638108,2241,-1.78371547857225,100,31,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602","topoisomerase inhibitor","TOP2B","oncology","non-small cell lung cancer (NSCLC)","Launched"
"4","amsacrine","HA1E","trt_cp","down",-0.638550005641746,1.5710167685804e-05,0.000124761495428982,-1.81421586260202,-98.7505577867024,2241,-1.58822753264746,100,31,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179","topoisomerase inhibitor","KCNH2","hematologic malignancy","acute lymphoblastic leukemia (ALL)","Launched"
"5","amsacrine","HA1E","trt_cp","down",-0.638550005641746,1.5710167685804e-05,0.000124761495428982,-1.81421586260202,-98.7505577867024,2241,-1.58822753264746,100,31,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179","topoisomerase inhibitor","TOP2A","hematologic malignancy","acute lymphoblastic leukemia (ALL)","Launched"
"6","irinotecan","HA1E","trt_cp","down",-0.524375875343056,2.07147917408385e-05,0.000124761495428982,-1.48983011918871,-98.2150825524319,2241,-1.28946873266612,100,31,"ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT","Topoisomerase inhibitor","60838","topoisomerase inhibitor","TOP1","oncology","colorectal cancer","Launched"
"7","irinotecan","HA1E","trt_cp","down",-0.524375875343056,2.07147917408385e-05,0.000124761495428982,-1.48983011918871,-98.2150825524319,2241,-1.28946873266612,100,31,"ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT","Topoisomerase inhibitor","60838","topoisomerase inhibitor","TOP1MT","oncology","colorectal cancer","Launched"
"8","methylene-blue","HA1E","trt_cp","down",-0.545071270612658,1.98009038699191e-05,0.000124761495428982,-1.54862882571005,-96.9656403391343,2241,-1.3727844991117,100,31,"ACHE; MAPT","Guanylyl cyclase inhibitor; Monoamine oxidase inhibitor; Nitric oxide production inhibitor; Tau aggregation inhibitor","4139","guanylyl cyclase inhibitor, nitric oxide production inhibitor","ACHE","hematology","methemoglobinemia","Launched"
"9","doxorubicin","HA1E","trt_cp","down",-0.472910845572206,2.29342337130712e-05,0.000124761495428982,-1.34361028901938,-96.9210174029451,2241,-1.16922698146546,100,31,"CHD1; NOLC1; TOP2A","Topoisomerase inhibitor","31703","topoisomerase inhibitor","TOP2A","hematologic malignancy, oncology","acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma","Launched"
"10","vorinostat","HA1E","trt_cp","down",-0.512869214705013,2.119349491132e-05,0.000124761495428982,-1.45713797907333,-96.8317715305667,2241,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC1","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"11","vorinostat","HA1E","trt_cp","down",-0.512869214705013,2.119349491132e-05,0.000124761495428982,-1.45713797907333,-96.8317715305667,2241,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC10","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"12","vorinostat","HA1E","trt_cp","down",-0.512869214705013,2.119349491132e-05,0.000124761495428982,-1.45713797907333,-96.8317715305667,2241,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC11","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
"13","vorinostat","HA1E","trt_cp","down",-0.512869214705013,2.119349491132e-05,0.000124761495428982,-1.45713797907333,-96.8317715305667,2241,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC2","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
