"","ingredients.x","concept_codes","concept_ids","latest_xml_id","latest_zip_id","X.x","concept_name","vocabulary_id","domain_id","concept_class_id","meddra_id","omop_concept_id","ingredients.y","rxnorm_ids","drug_concept_ids","X.y"
"1","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Jaundice","MedDRA","Condition","PT",10023126,35104306,"amiloride","644","991382",NA
"2","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Neutropenia","MedDRA","Condition","PT",10029354,35104883,"amiloride","644","991382",NA
"3","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Anemia","MedDRA","Condition","LLT",10002272,35122651,"amiloride","644","991382",NA
"4","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Arrhythmia","MedDRA","Condition","PT",10003119,35204924,"amiloride","644","991382",NA
"5","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Dizziness","MedDRA","Condition","PT",10013573,35205025,"amiloride","644","991382",NA
"6","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Angina pectoris","MedDRA","Condition","PT",10002383,35205181,"amiloride","644","991382",NA
"7","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Chest pain","MedDRA","Condition","PT",10008479,35205185,"amiloride","644","991382",NA
"8","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Dyspnea","MedDRA","Condition","LLT",10013963,35227040,"amiloride","644","991382",NA
"9","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Shortness of breath","MedDRA","Condition","LLT",10040604,35227060,"amiloride","644","991382",NA
"10","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Tinnitus","MedDRA","Condition","PT",10043882,35406391,"amiloride","644","991382",NA
"11","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Vertigo","MedDRA","Condition","PT",10047340,35406392,"amiloride","644","991382",NA
"12","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Gynecomastia","MedDRA","Condition","LLT",10018801,35532050,"amiloride","644","991382",NA
"13","amiloride","644","991382","d9e6f5a7-8ad8-4945-e053-2a95a90abe79","20220322_1c80a82e-1022-4251-93c2-82e95b80c44e",NA,"Visual disturbances","MedDRA","Condition","LLT",10047545,35635638,"amiloride","644","991382",NA
