"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa04080","Neuroactive ligand-receptor interaction","24/66","362/8159",1.81207666480209e-16,3.2073756966997e-14,8.39277613171495e-15,"148/147/146/151/152/153/154/155/1128/1132/1133/3269/3362/134/135/136/140/3360/153/154/155/3360/4986/4923",24
"2","hsa04020","Calcium signaling pathway","20/66","240/8159",1.30493515551995e-15,1.15486761263515e-13,3.02195509699357e-14,"3791/148/147/146/153/154/155/1128/1133/3269/3362/135/136/3360/153/154/155/3360/4915/4923",20
"3","hsa04923","Regulation of lipolysis in adipocytes","11/66","57/8159",5.60974863163832e-13,3.30975169266661e-11,8.66066455410828e-12,"153/154/155/5293/134/153/154/155/5290/5291/5293",11
"4","hsa04022","cGMP-PKG signaling pathway","15/66","167/8159",2.67782411454499e-12,1.18493717068616e-10,3.10063844842051e-11,"148/147/146/151/152/153/154/155/134/140/7225/153/154/155/5294",15
"5","hsa04024","cAMP signaling pathway","15/66","221/8159",1.52361205154262e-10,5.39358666246089e-09,1.41134590037633e-09,"5879/153/154/1128/3362/5293/134/135/3360/153/154/3360/5290/5291/5293",15
"6","hsa04933","AGE-RAGE signaling pathway in diabetic complications","11/66","100/8159",3.29334120363948e-10,9.71535655073646e-09,2.54222829754626e-09,"5600/6300/1432/2152/5292/836/5879/5293/5290/5291/5293",11
"7","hsa04370","VEGF signaling pathway","9/66","59/8159",7.71311822667867e-10,1.95031703731732e-08,5.10341657103551e-09,"5600/6300/1432/3791/5879/5293/5290/5291/5293",9
"8","hsa04917","Prolactin signaling pathway","9/66","70/8159",3.72340921645036e-09,8.23804289139642e-08,2.15565796741863e-08,"5600/6300/1432/2099/2100/5293/5290/5291/5293",9
"9","hsa01522","Endocrine resistance","10/66","98/8159",4.7447856055048e-09,9.3314116908261e-08,2.44176101335919e-08,"1565/5600/6300/1432/2099/2100/5293/5290/5291/5293",10
"10","hsa05207","Chemical carcinogenesis - receptor activation","13/66","212/8159",1.03488558994454e-08,1.83174749420184e-07,4.7931543113221e-08,"1576/2099/2100/153/154/155/5293/153/154/155/5290/5291/5293",13
"11","hsa04261","Adrenergic signaling in cardiomyocytes","11/66","150/8159",2.53176853725163e-08,4.07384573721399e-07,1.06600780515858e-07,"5600/6300/1432/148/147/146/153/154/153/154/5294",11
"12","hsa04071","Sphingolipid signaling pathway","10/66","119/8159",3.15763628824997e-08,4.65751352516871e-07,1.21873681300876e-07,"5600/6300/1432/5879/5293/134/140/5290/5291/5293",10
"13","hsa04970","Salivary secretion","9/66","92/8159",4.3268980503423e-08,5.89123811469682e-07,1.54156691672114e-07,"148/147/146/153/154/155/153/154/155",9
"14","hsa04664","Fc epsilon RI signaling pathway","8/66","68/8159",5.97558365442595e-08,7.55484504880995e-07,1.97688481800558e-07,"5600/6300/1432/5879/5293/5290/5291/5293",8
"15","hsa04726","Serotonergic synapse","9/66","115/8159",3.02713555853056e-07,3.57201995906606e-06,9.34694488248031e-07,"1565/1558/1559/836/3362/6532/3360/3360/6532",9
"16","hsa04722","Neurotrophin signaling pathway","9/66","119/8159",4.05936057414011e-07,4.4906676351425e-06,1.1750780609353e-06,"5600/6300/1432/5879/5293/5290/5291/5293/4915",9
"17","hsa05205","Proteoglycans in cancer","11/66","205/8159",6.1709679834702e-07,6.4250666651425e-06,1.68125443512501e-06,"5600/6300/1432/3791/836/2099/5879/5293/5290/5291/5293",11
"18","hsa04015","Rap1 signaling pathway","11/66","210/8159",7.84680808903521e-07,7.71602795421796e-06,2.01906173051198e-06,"5600/6300/1432/3791/5879/5293/135/136/5290/5291/5293",11
"19","hsa05417","Lipid and atherosclerosis","11/66","215/8159",9.91251590269108e-07,9.23429113040169e-06,2.41634736686098e-06,"5600/6300/1432/1558/1559/836/5879/5293/5290/5291/5293",11
