"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa01524","Platinum drug resistance","21/88","73/8159",2.69062474838846e-25,5.78484320903519e-23,1.75598667789563e-23,"1244/317/581/841/842/1026/54205/355/7153/7155/7157/7153/7155/207/5290/5291/5293/1244/596/598/472",21
"2","hsa05161","Hepatitis B","24/88","162/8159",1.99406014250132e-21,2.14361465318892e-19,6.50693309658325e-20,"317/581/841/842/1026/54205/355/5599/5925/7157/3551/207/5600/6300/1432/5599/5290/5291/5293/5578/6774/3717/6774/596",24
"3","hsa05167","Kaposi sarcoma-associated herpesvirus infection","25/88","194/8159",8.81216701596442e-21,6.31538636144117e-19,1.91703282452559e-19,"581/841/842/1026/54205/355/5599/5925/7157/3551/3091/207/2932/5600/6300/1432/5599/2475/5290/5291/5293/5294/6774/3717/6774",25
"4","hsa04210","Apoptosis","22/88","136/8159",1.61439159411579e-20,8.67735481837238e-19,2.63400733776787e-19,"317/581/835/839/841/842/54205/355/4001/5599/4170/7157/3551/207/5599/5290/5291/5293/596/598/4170/472",22
"5","hsa05212","Pancreatic cancer","18/88","76/8159",4.78536693103311e-20,2.05770778034424e-18,6.24616315208533e-19,"581/842/1026/5599/5925/7157/3551/207/5599/2475/5290/5291/5293/6198/6774/6774/598/1956",18
"6","hsa05417","Lipid and atherosclerosis","25/88","215/8159",1.15576711096767e-19,4.1414988143008e-18,1.25715019087711e-18,"317/581/839/841/842/54205/355/5599/7157/3551/207/2932/5600/6300/1432/5599/5290/5291/5293/5578/6774/3717/6774/596/598",25
"7","hsa05170","Human immunodeficiency virus 1 infection","24/88","212/8159",1.33948398194552e-18,4.11412937311839e-17,1.24884220873116e-17,"581/841/842/54205/355/5599/3551/207/1111/5600/6300/1432/5599/2475/5290/5291/5293/5578/6198/995/596/598/472/545",24
"8","hsa05163","Human cytomegalovirus infection","24/88","225/8159",5.48000465445343e-18,1.47275125088436e-16,4.47053011284359e-17,"581/841/842/1026/54205/355/5925/7157/3551/207/2932/5600/6300/1432/2475/5290/5291/5293/5578/6093/6198/6774/6774/1956",24
"9","hsa05169","Epstein-Barr virus infection","22/88","202/8159",1.06144570030406e-16,2.53567583961524e-15,7.69703314840368e-16,"317/581/841/842/1026/54205/355/5599/5925/7157/3551/207/5600/6300/1432/5599/5290/5291/5293/6774/6774/596",22
"10","hsa01522","Endocrine resistance","17/88","98/8159",1.64502303142377e-16,3.53679951756112e-15,1.07359397840288e-15,"581/1026/5599/5925/7157/207/5600/6300/1432/5599/2475/5290/5291/5293/6198/596/1956",17
"11","hsa05162","Measles","19/88","139/8159",2.35337748072077e-16,4.59978325777242e-15,1.39626223736543e-15,"317/581/841/842/54205/355/5599/7157/3551/207/2932/5599/5290/5291/5293/6774/6774/596/598",19
