"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","MF","GO:0051380","norepinephrine binding","6/73","5/19330",0,0,0,"ADRB1/ADRB2/ADRB3/ADRB1/ADRB2/ADRB3",6
"2","MF","GO:0008227","G protein-coupled amine receptor activity","18/73","59/19330",1.44880392013455e-30,2.02760108622831e-27,1.19716955505855e-27,"ADRA1A/ADRA1B/ADRA1D/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM4/CHRM5/HRH1/HTR6/HTR4/ADRB1/ADRB2/ADRB3/HTR4",18
"3","MF","GO:0004935","adrenergic receptor activity","11/73","17/19330",1.23029892533061e-23,8.60901673000095e-21,5.08307713886595e-21,"ADRA1A/ADRA1B/ADRA1D/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/ADRB1/ADRB2/ADRB3",11
"4","MF","GO:0051379","epinephrine binding","8/73","8/19330",2.78460002561952e-20,9.74261933963628e-18,5.75239742134558e-18,"ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/ADRB1/ADRB2/ADRB3",8
"5","MF","GO:1901338","catecholamine binding","8/73","20/19330",3.38393489071143e-15,4.985070399527e-13,2.9433671902587e-13,"ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/ADRB1/ADRB2/ADRB3",8
"6","MF","GO:0099528","G protein-coupled neurotransmitter receptor activity","9/73","41/19330",2.98273357722892e-14,3.9755577536494e-12,2.34731414348341e-12,"ADRB1/CHRM1/CHRM4/CHRM5/HRH1/HTR6/HTR4/ADRB1/HTR4",9
"7","MF","GO:0004936","alpha-adrenergic receptor activity","5/73","6/19330",3.99762595113795e-12,3.29098677565739e-10,1.94311849637355e-10,"ADRA1A/ADRA1B/ADRA1D/ADRA2B/ADRA2C",5
"8","MF","GO:0035005","1-phosphatidylinositol-4-phosphate 3-kinase activity","5/73","7/19330",1.39506646449309e-11,1.08466417614337e-09,6.40425248319926e-10,"PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",5
"9","MF","GO:0030594","neurotransmitter receptor activity","10/73","117/19330",2.01371311654378e-11,1.4832586876858e-09,8.75769970352834e-10,"ADRB1/CHRM1/CHRM4/CHRM5/HRH1/HTR6/ADORA1/HTR4/ADRB1/HTR4",10
"10","MF","GO:0004993","G protein-coupled serotonin receptor activity","7/73","34/19330",4.04527584519615e-11,2.69588740254858e-09,1.59175014460099e-09,"CHRM1/CHRM4/CHRM5/HRH1/HTR6/HTR4/HTR4",7
"11","MF","GO:0099589","serotonin receptor activity","7/73","34/19330",4.04527584519615e-11,2.69588740254858e-09,1.59175014460099e-09,"CHRM1/CHRM4/CHRM5/HRH1/HTR6/HTR4/HTR4",7
"12","MF","GO:0016307","phosphatidylinositol phosphate kinase activity","5/73","16/19330",2.8260693790136e-09,1.41253003426055e-07,8.34009196438223e-08,"PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",5
"13","MF","GO:0001609","G protein-coupled adenosine receptor activity","4/73","7/19330",6.49472515905499e-09,2.98012060986802e-07,1.75957178597348e-07,"ADORA1/ADORA2A/ADORA2B/ADORA3",4
"14","MF","GO:0008504","monoamine transmembrane transporter activity","4/73","8/19330",1.29523576237535e-08,5.34027739716993e-07,3.15309434330186e-07,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"15","MF","GO:0015378","sodium:chloride symporter activity","4/73","10/19330",3.86354945204317e-08,1.33507097731714e-06,7.88274547070536e-07,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"16","MF","GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","4/73","10/19330",3.86354945204317e-08,1.33507097731714e-06,7.88274547070536e-07,"CYP3A4/CYP2C8/CYP2C9/AOX1",4
"17","MF","GO:0015373","anion:sodium symporter activity","4/73","13/19330",1.30421301324821e-07,3.8025960667518e-06,2.24519126184176e-06,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"18","MF","GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-kinase activity","6/73","68/19330",2.14016598964448e-07,5.9903246050149e-06,3.53690589867562e-06,"ESR1/PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",6
"19","MF","GO:0052813","phosphatidylinositol bisphosphate kinase activity","6/73","71/19330",2.77552887290611e-07,7.46990895698481e-06,4.4105064073508e-06,"ESR1/PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",6
"20","MF","GO:0015377","cation:chloride symporter activity","4/73","16/19330",3.29147108732607e-07,8.77412149850064e-06,5.18056100962599e-06,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"21","MF","GO:0031694","alpha-2A adrenergic receptor binding","3/73","5/19330",5.13952594141758e-07,1.31977367981907e-05,7.79242465284945e-06,"ADRA2C/ADRB1/ADRB1",3
"22","MF","GO:0035004","phosphatidylinositol 3-kinase activity","6/73","79/19330",5.260220196204e-07,1.32642849812387e-05,7.83171712474185e-06,"ESR1/PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",6
"23","MF","GO:1901618","organic hydroxy compound transmembrane transporter activity","5/73","44/19330",6.47230380661765e-07,1.61749806738597e-05,9.55029791014071e-06,"SLC6A2/SLC6A4/SLC6A2/SLC6A4/SLCO1A2",5
"24","MF","GO:0015296","anion:cation symporter activity","4/73","19/19330",6.94991446723713e-07,1.7063868941927e-05,1.00751299294204e-05,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"25","MF","GO:0016303","1-phosphatidylinositol-3-kinase activity","5/73","46/19330",8.12154810872599e-07,1.91027001313648e-05,1.12789301465721e-05,"PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",5
"26","MF","GO:0016907","G protein-coupled acetylcholine receptor activity","3/73","7/19330",1.78907804109293e-06,3.73703689329784e-05,2.20648273724736e-05,"CHRM1/CHRM4/CHRM5",3
"27","MF","GO:0052742","phosphatidylinositol kinase activity","5/73","54/19330",1.83032028588571e-06,3.79486405940304e-05,2.24062600299459e-05,"PIK3CD/PIK3CA/PIK3CB/PIK3CD/PIK3CG",5
"28","MF","GO:0035586","purinergic receptor activity","4/73","25/19330",2.22968183884081e-06,4.42615565029462e-05,2.61336355877571e-05,"ADORA1/ADORA2A/ADORA2B/ADORA3",4
"29","MF","GO:0005328","neurotransmitter:sodium symporter activity","4/73","27/19330",3.07573675010932e-06,5.73932477570398e-05,3.3887064545064e-05,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"30","MF","GO:0008519","ammonium transmembrane transporter activity","4/73","32/19330",6.21287488263725e-06,0.000103707919378726,6.12329341022543e-05,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"31","MF","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","4/73","32/19330",6.21287488263725e-06,0.000103707919378726,6.12329341022543e-05,"CYP2D6/CYP3A4/CYP2C8/CYP2C9",4
"32","MF","GO:0004674","protein serine/threonine kinase activity","10/73","454/19330",7.65817306804439e-06,0.000126089567161507,7.44478744076142e-05,"MAPK11/MAPK12/MAPK14/AURKB/PIM1/ACVRL1/RAC1/PIK3CA/PIK3CG/PRKDC",10
"33","MF","GO:0008395","steroid hydroxylase activity","4/73","35/19330",8.96921158318402e-06,0.000140250409057721,8.280895140017e-05,"CYP2D6/CYP3A4/CYP2C8/CYP2C9",4
"34","MF","GO:0004707","MAP kinase activity","3/73","14/19330",1.8255826492079e-05,0.000259381006859538,0.000153147996754283,"MAPK11/MAPK12/MAPK14",3
"35","MF","GO:0005496","steroid binding","5/73","89/19330",2.16825091938355e-05,0.000301937031012664,0.000178274623903229,"CYP3A4/ESR1/ESR2/SHBG/PGRMC1",5
"36","MF","GO:0005506","iron ion binding","6/73","152/19330",2.36158255756584e-05,0.000324023018560136,0.000191314995633558,"CYP2D6/CYP3A4/CYP2C8/CYP2C9/CYP4F2/AOX1",6
"37","MF","GO:0008391","arachidonic acid monooxygenase activity","3/73","16/19330",2.79337554707542e-05,0.000366259742309776,0.000216253096190876,"CYP2C8/CYP2C9/CYP4F2",3
"38","MF","GO:0008392","arachidonic acid epoxygenase activity","3/73","16/19330",2.79337554707542e-05,0.000366259742309776,0.000216253096190876,"CYP2C8/CYP2C9/CYP4F2",3
"39","MF","GO:0004497","monooxygenase activity","5/73","98/19330",3.45529908218833e-05,0.000445685812490559,0.000263149141840198,"CYP2D6/CYP3A4/CYP2C8/CYP2C9/CYP4F2",5
"40","MF","GO:0031690","adrenergic receptor binding","3/73","19/19330",4.79433209274552e-05,0.000596414912337543,0.000352145094063648,"ADRA2C/ADRB1/ADRB1",3
"41","MF","GO:0005326","neurotransmitter transporter activity","4/73","54/19330",5.1316622520995e-05,0.000632754301481343,0.000373601193405806,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"42","MF","GO:0015464","acetylcholine receptor activity","3/73","23/19330",8.66780844010817e-05,0.00098595125944043,0.000582141545785703,"CHRM1/CHRM4/CHRM5",3
"43","MF","GO:0048037","cofactor binding","9/73","492/19330",9.53248032704428e-05,0.00106725649741588,0.000630147120566717,"CYP2D6/CYP3A4/CYP2C8/CYP2C9/CYP4F2/VKORC1/VKORC1L1/AOX1/PARP1",9
"44","MF","GO:0020037","heme binding","5/73","131/19330",0.000137497764968305,0.0013855682437583,0.000818089972998075,"CYP2D6/CYP3A4/CYP2C8/CYP2C9/CYP4F2",5
"45","MF","GO:0030284","estrogen receptor activity","2/73","5/19330",0.000139643383368896,0.0013855682437583,0.000818089972998075,"ESR1/ESR2",2
"46","MF","GO:0101020","estrogen 16-alpha-hydroxylase activity","2/73","5/19330",0.000139643383368896,0.0013855682437583,0.000818089972998075,"CYP3A4/CYP2C8",2
"47","MF","GO:0015370","solute:sodium symporter activity","4/73","72/19330",0.000158597490772159,0.00150991284582066,0.000891507556434982,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"48","MF","GO:0046906","tetrapyrrole binding","5/73","141/19330",0.000193980949449458,0.00178602854443761,0.00105453632491568,"CYP2D6/CYP3A4/CYP2C8/CYP2C9/CYP4F2",5
"49","MF","GO:0004969","histamine receptor activity","2/73","6/19330",0.000208952518171926,0.00185669237575626,0.00109625882549682,"HRH1/HTR6",2
"50","MF","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","5/73","161/19330",0.000358389940687927,0.00282572801122678,0.00166841277058575,"CYP2D6/CYP3A4/CYP2C8/CYP2C9/CYP4F2",5
"51","MF","GO:0004985","opioid receptor activity","2/73","9/19330",0.000497815636808101,0.00362002868172032,0.00213739682604724,"SIGMAR1/OPRK1",2
"52","MF","GO:0015108","chloride transmembrane transporter activity","4/73","100/19330",0.000558260126845827,0.00402724251299348,0.00237783070848603,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"53","MF","GO:0043176","amine binding","2/73","10/19330",0.000620748504691523,0.004332855522772,0.00255827576418347,"SLC6A4/SLC6A4",2
"54","MF","GO:0051378","serotonin binding","2/73","10/19330",0.000620748504691523,0.004332855522772,0.00255827576418347,"SLC6A4/SLC6A4",2
"55","MF","GO:0015294","solute:cation symporter activity","4/73","103/19330",0.000624115527913908,0.00433473787253357,0.00255938717206435,"SLC6A2/SLC6A4/SLC6A2/SLC6A4",4
"56","MF","GO:0099529","neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential","3/73","45/19330",0.000654330316574915,0.0045110112219044,0.00266346537988752,"ADRB1/CHRM1/ADRB1",3
"57","MF","GO:0098960","postsynaptic neurotransmitter receptor activity","3/73","47/19330",0.000743675287200593,0.00507694421676697,0.00299761283929379,"ADRB1/CHRM1/ADRB1",3
"58","MF","GO:0043560","insulin receptor substrate binding","2/73","11/19330",0.000756838611310339,0.00508007499534206,0.00299946136503151,"PIK3CA/PIK3CB",2
"59","MF","GO:0004879","nuclear receptor activity","3/73","50/19330",0.000891664327922663,0.00583123470526994,0.00344297342557447,"NR1I2/ESR1/ESR2",3
