"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOA","Target","Disease.Area","Indication","Phase"
"1","etoposide","73707602","HA1E","trt_cp","down",-0.474149341953596,2.28907152430274e-05,0.00126836081040662,-1.83619535225047,-99.330655957162,2241,-1.59656255771726,106,100,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","topoisomerase inhibitor","TOP2A, TOP2B","oncology","non-small cell lung cancer (NSCLC)","Launched"
"2","amsacrine","2179","HA1E","trt_cp","down",-0.468317192536219,2.315182606329e-05,0.00126836081040662,-1.81360971370525,-98.7505577867024,2241,-1.34823593625485,106,100,"ALB; KCNH2; ORM1; TOP2A; TOP2B","topoisomerase inhibitor","KCNH2, TOP2A","hematologic malignancy","acute lymphoblastic leukemia (ALL)","Launched"
"3","pyrvinium-pamoate","73707397","HA1E","trt_cp","down",-0.450240066389435,2.39351585240781e-05,0.00126836081040662,-1.74360405920828,-99.2860330209728,2241,-1.49107629041136,106,100,"AR","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"4","terfenadine","5405","HA1E","trt_cp","down",-0.411413114554576,2.56323788557854e-05,0.00126836081040662,-1.59324242798155,-95.6715751896475,2241,-1.26573289360167,106,100,"CHRM1; CHRM4; CHRM5; HRH1; KCNH1; KCNH2","histamine receptor antagonist","HRH1, KCNH1, KCNH2","","","Withdrawn"
"5","TW-37","11455910","HA1E","trt_cp","down",-0.400740920996325,2.60675635562232e-05,0.00126836081040662,-1.55191318743207,-98.3043284248104,2241,-1.13664130746511,106,100,"BCL2; BCL2L1; MCL1","BCL inhibitor","BCL2, BCL2L1, MCL1","","","Preclinical"
"6","NSC-663284","379077","HA1E","trt_cp","down",-0.390991472884724,2.6502748256661e-05,0.00126836081040662,-1.51415737987201,-92.5479696564034,2241,-1.42297605028788,106,100,"CDC25A; CDC25B; CDC25C","CDC inhibitor","CDC25A, CDC25B, CDC25C","","","Preclinical"
"7","CGP-71683","56668433","HA1E","trt_cp","down",-0.39063606372642,2.6502748256661e-05,0.00126836081040662,-1.51278101890958,-91.6555109326194,2241,-1.19458706170025,106,100,"NPY5R","neuropeptide receptor antagonist","NPY5R","","","Preclinical"
"8","NNC-55-0396","9957280","HA1E","trt_cp","down",-0.377517872594796,2.70684883672301e-05,0.00126836081040662,-1.46197938437272,-90.7184292726461,2241,-1.45942617887079,106,100,"CATSPER1; CATSPER2; CATSPER3; CATSPER4","T-type calcium channel blocker","CATSPER1, CATSPER2, CATSPER3, CATSPER4","","","Preclinical"
"9","CD-437","135411","HA1E","trt_cp","down",-0.377030816112958,2.71120068372739e-05,0.00126836081040662,-1.46009320470505,-95.6715751896475,2241,-1.46161217358618,106,100,"RARG","retinoid receptor agonist","RARG","","","Preclinical"
"10","pyrvinium-pamoate","73707397","NKDBA","trt_cp","down",-0.371329649076114,2.73731176575365e-05,0.00126836081040662,-1.25607650094542,NA,229,-1.49107629041136,106,100,"AR","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
