"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"1","etoposide","HA1E","trt_cp","down",-0.713393073578185,1.24898009025644e-05,0.000124761495428982,-2.02685618811518,-99.553770638108,2241,-1.78371547857225,100,31,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602"
"2","SA-84869","NKDBA","trt_cp","down",-0.698561518186786,1.30990594831773e-05,0.000124761495428982,-1.68723032153109,NA,229,-1.40216915252456,100,31,NA,NA,"44492693"
"3","pyrvinium-pamoate","HA1E","trt_cp","down",-0.663456922900785,1.46657244047533e-05,0.000124761495428982,-1.88498013161875,-99.6430165104864,2241,-1.687942110243,100,31,"AR","AKT inhibitor","73707397"
"4","BRD-K92317137","HA1E","trt_cp","down",-0.662720138959987,1.46657244047533e-05,0.000124761495428982,-1.88288681848603,-99.553770638108,2241,-1.38446272442465,100,31,NA,NA,"659101"
"5","SA-1919710","NKDBA","trt_cp","down",-0.66184812725005,1.47092428747971e-05,0.000124761495428982,-1.59855674764819,NA,229,-1.50519492565701,100,31,NA,NA,"54668959"
"6","BRD-K95196255","HA1E","trt_cp","down",-0.646202226263728,1.54055383954975e-05,0.000124761495428982,-1.83595696339894,-98.9736724676484,2241,-1.51711995729374,100,31,NA,NA,"3242434"
"7","amsacrine","HA1E","trt_cp","down",-0.638550005641746,1.5710167685804e-05,0.000124761495428982,-1.81421586260202,-98.7505577867024,2241,-1.58822753264746,100,31,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179"
"8","BRD-K60870698","HA1E","trt_cp","down",-0.633947080715626,1.59277600360228e-05,0.000124761495428982,-1.80113826595094,-98.8398036590808,2241,-1.61161573384324,100,31,NA,NA,"3238417"
"9","LY-294002","NKDBA","trt_cp","down",-0.629799828221251,1.6101833916198e-05,0.000124761495428982,-1.52115073476727,NA,229,-1.06685391236497,100,31,"AKT1; CHEK1; GSK3B; LCK; MAPK11; MAPK12; MAPK14; MAPK8; MTOR; PDE2A; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PIM1; PLK1; PRKCA; PRKDC; ROCK1; RPS6KB1; SGK1","DNA dependent protein kinase inhibitor; MTOR inhibitor; Phosphodiesterase inhibitor; PI3K inhibitor; PLK inhibitor","3973"
"10","thapsigargin","HA1E","trt_cp","down",-0.628359761659832,1.61888708562855e-05,0.000124761495428982,-1.78526385866743,-98.3935742971887,2241,-1.55646206171588,100,31,"ATP2A1; ATP2A2; ATP2A3; ATP2C1; ATP2C2","ATPase inhibitor","5353993"
