"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","MF","GO:0035851","Krueppel-associated box domain binding","5/50","27/22568",3.38169002592651e-09,3.09288019472585e-06,1.94921873227503e-06,"vorinostat/panobinostat/nsc-3852/trichostatin-a/apicidin",5
"2","MF","GO:0001047","core promoter binding","8/50","196/22568",1.10206528469793e-08,3.14957297204091e-06,1.98494809020996e-06,"etoposide/avrainvillamide-analog-3/vorinostat/panobinostat/nsc-3852/trichostatin-a/avrainvillamide-analog-4/apicidin",8
"3","MF","GO:0033613","activating transcription factor binding","9/50","292/22568",1.4146514178412e-08,3.24121604264205e-06,2.04270409065368e-06,"etoposide/avrainvillamide-analog-3/vorinostat/panobinostat/15-delta-prostaglandin-j2/nsc-3852/trichostatin-a/avrainvillamide-analog-4/apicidin",9
"4","MF","GO:0001103","RNA polymerase II repressing transcription factor binding","8/50","218/22568",2.52548839082502e-08,4.47126240102885e-06,2.81791336239424e-06,"niclosamide/cucurbitacin-i/vorinostat/panobinostat/15-delta-prostaglandin-j2/nsc-3852/trichostatin-a/apicidin",8
"5","MF","GO:0001046","core promoter sequence-specific DNA binding","6/50","94/22568",6.0897332481536e-08,9.48780440062331e-06,5.9794770251344e-06,"etoposide/vorinostat/panobinostat/nsc-3852/trichostatin-a/apicidin",6
"6","MF","GO:0005080","protein kinase C binding","10/50","490/22568",1.00219962376749e-07,1.44576575354607e-05,9.11161607261517e-06,"etoposide/amsacrine/ly-294002/vorinostat/purvalanol-a/ag-957/panobinostat/trichostatin-a/apicidin/dactinomycin",10
"7","MF","GO:0002039","p53 binding","10/50","500/22568",1.20894138693377e-07,1.56960890070234e-05,9.89210987484052e-06,"etoposide/ly-294002/wortmannin/camptothecin/vorinostat/purvalanol-a/panobinostat/nsc-3852/trichostatin-a/apicidin",10
"8","MF","GO:0070888","E-box binding","7/50","195/22568",2.3548373897344e-07,2.47917429770698e-05,1.56244428410315e-05,"camptothecin/vorinostat/panobinostat/15-delta-prostaglandin-j2/nsc-3852/trichostatin-a/apicidin",7
"9","MF","GO:0071889","14-3-3 protein binding","7/50","197/22568",2.52356680749021e-07,2.52033146542933e-05,1.58838267073338e-05,"ly-294002/wortmannin/vorinostat/panobinostat/terfenadine/trichostatin-a/apicidin",7
"10","MF","GO:1990841","promoter-specific chromatin binding","7/50","197/22568",2.52356680749021e-07,2.52033146542933e-05,1.58838267073338e-05,"etoposide/vorinostat/panobinostat/nsc-3852/trichostatin-a/apicidin/dactinomycin",7
"11","MF","GO:0051059","NF-kappaB binding","8/50","299/22568",2.86386259889882e-07,2.72066946895388e-05,1.71464122737665e-05,"ly-294002/avrainvillamide-analog-3/vorinostat/panobinostat/nsc-3852/trichostatin-a/avrainvillamide-analog-4/apicidin",8
"12","MF","GO:0070491","repressing transcription factor binding","8/50","331/22568",6.18098176434631e-07,4.58057860069861e-05,2.88680745809855e-05,"niclosamide/cucurbitacin-i/vorinostat/panobinostat/15-delta-prostaglandin-j2/nsc-3852/trichostatin-a/apicidin",8
"13","MF","GO:0031492","nucleosomal DNA binding","5/50","88/22568",1.48276740980872e-06,8.02135980722911e-05,5.05528304045896e-05,"vorinostat/panobinostat/nsc-3852/trichostatin-a/apicidin",5
"14","MF","GO:0031490","chromatin DNA binding","7/50","276/22568",2.41658925785514e-06,0.000112054942373164,7.06201271844384e-05,"niclosamide/cucurbitacin-i/vorinostat/panobinostat/nsc-3852/trichostatin-a/apicidin",7
"15","MF","GO:0031491","nucleosome binding","5/50","106/22568",3.72262873213649e-06,0.0001553523391777,9.79073454394693e-05,"vorinostat/panobinostat/nsc-3852/trichostatin-a/apicidin",5
"16","MF","GO:0030544","Hsp70 protein binding","6/50","195/22568",4.46268291903009e-06,0.000167404338565355,0.000105502849141114,"etoposide/vorinostat/purvalanol-a/panobinostat/trichostatin-a/apicidin",6
