"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"1","etoposide","HA1E","trt_cp","down",-0.474149341953596,2.28907152430274e-05,0.00126836081040662,-1.83619535225047,-99.330655957162,2241,-1.59656255771726,106,100,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602"
"2","amsacrine","HA1E","trt_cp","down",-0.468317192536219,2.315182606329e-05,0.00126836081040662,-1.81360971370525,-98.7505577867024,2241,-1.34823593625485,106,100,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179"
"3","pyrvinium-pamoate","HA1E","trt_cp","down",-0.450240066389435,2.39351585240781e-05,0.00126836081040662,-1.74360405920828,-99.2860330209728,2241,-1.49107629041136,106,100,"AR","AKT inhibitor","73707397"
"4","SA-1919710","NKDBA","trt_cp","down",-0.431068656064114,2.47620094549098e-05,0.00126836081040662,-1.45815237356732,NA,229,-1.30212314570449,106,100,NA,NA,"54668959"
"5","terfenadine","HA1E","trt_cp","down",-0.411413114554576,2.56323788557854e-05,0.00126836081040662,-1.59324242798155,-95.6715751896475,2241,-1.26573289360167,106,100,"CHRM1; CHRM4; CHRM5; HRH1; KCNH1; KCNH2","Histamine receptor antagonist","5405"
"6","SA-1459854","NKDBA","trt_cp","down",-0.406202790249785,2.58499712060043e-05,0.00126836081040662,-1.37403996885428,NA,229,-0.920606779132369,106,100,NA,NA,"54660156"
"7","TW-37","HA1E","trt_cp","down",-0.400740920996325,2.60675635562232e-05,0.00126836081040662,-1.55191318743207,-98.3043284248104,2241,-1.13664130746511,106,100,"BCL2; BCL2L1; MCL1","BCL inhibitor","11455910"
"8","thapsigargin","HA1E","trt_cp","down",-0.396218424747277,2.62851559064421e-05,0.00126836081040662,-1.53439932448151,-95.2699687639447,2241,-1.53829301782945,106,100,"ATP2A1; ATP2A2; ATP2A3; ATP2C1; ATP2C2","ATPase inhibitor","5353993"
"9","SA-1458163","NKDBA","trt_cp","down",-0.392259599462156,2.64592297866172e-05,0.00126836081040662,-1.32687509974105,NA,229,-0.8890063168265,106,100,NA,NA,"54658692"
"10","NSC-663284","HA1E","trt_cp","down",-0.390991472884724,2.6502748256661e-05,0.00126836081040662,-1.51415737987201,-92.5479696564034,2241,-1.42297605028788,106,100,"CDC25A; CDC25B; CDC25C","CDC inhibitor","379077"
"11","CGP-71683","HA1E","trt_cp","down",-0.39063606372642,2.6502748256661e-05,0.00126836081040662,-1.51278101890958,-91.6555109326194,2241,-1.19458706170025,106,100,"NPY5R","Neuropeptide receptor antagonist","56668433"
"12","BRD-K60870698","HA1E","trt_cp","down",-0.384749678587759,2.67638590769236e-05,0.00126836081040662,-1.48998534658274,-95.1807228915663,2241,-1.28851720367531,106,100,NA,NA,"3238417"
"13","rhodomyrtoxin-b","HA1E","trt_cp","down",-0.382696453018901,2.68508960170112e-05,0.00126836081040662,-1.48203400527933,-90.9861668897813,2241,-1.53343133685903,106,100,NA,"sodium fluorescein uptake inhibitor","3270699"
"14","SA-1922659","NKDBA","trt_cp","down",-0.380573344243566,2.69379329570988e-05,0.00126836081040662,-1.28734464317599,NA,229,-1.16840378360801,106,100,NA,NA,"54668627"
"15","NNC-55-0396","HA1E","trt_cp","down",-0.377517872594796,2.70684883672301e-05,0.00126836081040662,-1.46197938437272,-90.7184292726461,2241,-1.45942617887079,106,100,"CATSPER1; CATSPER2; CATSPER3; CATSPER4","T-type calcium channel blocker","9957280"
"16","CD-437","HA1E","trt_cp","down",-0.377030816112958,2.71120068372739e-05,0.00126836081040662,-1.46009320470505,-95.6715751896475,2241,-1.46161217358618,106,100,"RARG","Retinoid receptor agonist","135411"
"17","BRD-K92317137","HA1E","trt_cp","down",-0.376635226888303,2.71120068372739e-05,0.00126836081040662,-1.45856124202696,-96.9210174029451,2241,-0.693259499631736,106,100,NA,NA,"659101"
"18","CHEMBL-399379","NKDBA","trt_cp","down",-0.376064408547664,2.71555253073176e-05,0.00126836081040662,-1.27209251293002,NA,229,-0.852301983663115,106,100,NA,NA,"16747776"
"19","pyrvinium-pamoate","NKDBA","trt_cp","down",-0.371329649076114,2.73731176575365e-05,0.00126836081040662,-1.25607650094542,NA,229,-1.49107629041136,106,100,"AR","AKT inhibitor","73707397"
"20","RS-17053","HA1E","trt_cp","down",-0.370689149108775,2.73731176575365e-05,0.00126836081040662,-1.43553440339864,-93.4850513163766,2241,-1.17332805927695,106,100,"ADRA1A; ADRA1D","Adrenergic receptor antagonist","3894573"
"21","AG-957","HA1E","trt_cp","down",-0.367981712259276,2.75036730676679e-05,0.00126836081040662,-1.42504955712831,-92.235609103079,2241,0,106,100,"ABL1; EGFR","Protein tyrosine kinase inhibitor","2064"
