"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"1","warfarin","HA1E","trt_cp","down",-0.418519867680143,2.52842310954352e-05,0.000677836344179179,-1.46144650166229,-98.9290495314592,2241,-0.335448250255864,100,29,"ARSE; CYP2C8; CYP2C9; CYP4F2; F3; F7; NR1I2; PROS1; RP11-196G11.1; VKORC1; VKORC1L1","Vitamin K antagonist","54678486","vitamin K antagonist","VKORC1","hematology, cardiology","deep vein thrombosis (DVT), pulmonary embolism (PE), atrial fibrillation (AF), myocardial infarction","Launched"
"2","tetrahydrozoline","HA1E","trt_cp","down",-0.412609395416272,2.55453419156978e-05,0.000677836344179179,-1.44080748382764,-97.2780008924587,2241,0,100,29,NA,NA,"5419","adrenergic receptor agonist","","ophthalmology","eye irritation","Launched"
"3","diloxanide","HA1E","trt_cp","down",-0.401115621217863,2.60675635562232e-05,0.000677836344179179,-1.40067190750178,-98.9290495314592,2241,-0.745675409851319,100,29,NA,"Protein synthesis inhibitor","11367","protein synthesis inhibitor","","infectious disease","amebiasis","Launched"
"4","raloxifene","HA1E","trt_cp","down",-0.392435948713655,2.64592297866172e-05,0.000677836344179179,-1.37036300702554,-97.3226238286479,2241,0,100,29,"ACVRL1; AOX1; BGLAP; EBP; ENG; ESR1; ESR2; PTGR1; RAC1; SERPINB9; SHBG; TFF1","Estrogen receptor antagonist; Selective estrogen receptor modulator (SERM)","5035","estrogen receptor antagonist, selective estrogen receptor modulator (SERM)","ESR1, ESR2","orthopedics, oncology","osteoporosis, breast cancer","Launched"
"5","nortriptyline","HA1E","trt_cp","down",-0.39142039734275,2.6502748256661e-05,0.000677836344179179,-1.36681676200139,-89.8259705488621,2241,0,100,29,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; ADRB3; CHRM1; CHRM4; CHRM5; HRH1; HTR6; KCNJ10; PGRMC1; PIK3CD; SIGMAR1; SLC6A2; SLC6A4","Tricyclic antidepressant","441358","tricyclic antidepressant","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, KCNJ10, PGRMC1, SIGMAR1, SLC6A2, SLC6A4","neurology/psychiatry","depression","Launched"
"6","etifenin","HA1E","trt_cp","down",-0.389249158310348,2.65897851967485e-05,0.000677836344179179,-1.35923492435587,-92.8157072735386,2241,-0.0267766453960145,100,29,NA,"Compound used in hepatobiliary scans of the liver","170344","renal function diagnostic agent","","","","Preclinical"
"7","IB-MECA","HA1E","trt_cp","down",-0.388327910342683,2.66333036667923e-05,0.000677836344179179,-1.35601798121057,-95.7161981258367,2241,0,100,29,"ADORA1; ADORA2A; ADORA2B; ADORA3","Adenosine receptor agonist","3668","adenosine receptor agonist","ADORA1, ADORA2A, ADORA2B, ADORA3","","","Phase 3"
"8","bisacodyl","HA1E","trt_cp","down",-0.383493505505138,2.68508960170112e-05,0.000677836344179179,-1.3391365268686,-97.2780008924587,2241,0.0309759521073464,100,29,NA,"Laxative","2391","laxative","","gastroenterology","constipation","Launched"
"9","RS-67506","HA1E","trt_cp","down",-0.380299756902572,2.69814514271425e-05,0.000677836344179179,-1.3279841465807,-96.2516733601071,2241,-0.771151366251851,100,29,"HTR4","Serotonin receptor partial agonist","133076","serotonin receptor partial agonist","HTR4","","","Preclinical"
"10","BRL-37344","HA1E","trt_cp","down",-0.378355415071152,2.70684883672301e-05,0.000677836344179179,-1.32119462047453,-94.8683623382419,2241,-1.04952517988513,100,29,"ADRB1; ADRB2; ADRB3","Adrenergic receptor agonist","9841972","adrenergic receptor agonist","ADRB1, ADRB2, ADRB3","","","Phase 2"
"11","RS-67333","HA1E","trt_cp","down",-0.375067985026361,2.71990437773614e-05,0.000677836344179179,-1.30971511015869,-94.6006247211066,2241,-0.0320547651972941,100,29,"HTR4","Serotonin receptor partial agonist","183782","serotonin receptor partial agonist","HTR4","","","Preclinical"
"12","WAY-161503","HA1E","trt_cp","down",-0.373180450669102,2.7286080717449e-05,0.000677836344179179,-1.30312395237573,-95.0022311468095,2241,-1.11331590894797,100,29,NA,"Serotonin receptor agonist","3906894","serotonin receptor agonist","HTR2C","","","Preclinical"
"13","protriptyline","HA1E","trt_cp","down",-0.371535704032016,2.73295991874928e-05,0.000677836344179179,-1.29738059488063,-86.6577420794288,2241,0.0318825997988139,100,29,"SLC6A2; SLC6A4","Tricyclic antidepressant","4976","tricyclic antidepressant","SLC6A2, SLC6A4","neurology/psychiatry","depression","Launched"
"14","DR-2313","HA1E","trt_cp","down",-0.371020741076246,2.73731176575365e-05,0.000677836344179179,-1.29558237484781,-95.5823293172691,2241,0.0238046322866353,100,29,"PARP1; PARP3","PARP inhibitor","135522417","PARP inhibitor","PARP1, PARP3","","","Preclinical"
"15","naringin","HA1E","trt_cp","down",-0.368124016014184,2.75036730676679e-05,0.000677836344179179,-1.28546718310866,-94.6452476572958,2241,0,100,29,"SLCO1A2","Cytochrome P450 inhibitor","442428","cytochrome P450 inhibitor","SLCO1A2","","","Preclinical"
"16","6-benzylaminopurine","HA1E","trt_cp","down",-0.362875883068879,2.77647838879305e-05,0.000677836344179179,-1.26714101480585,-91.8340026773762,2241,-0.871780772435347,100,29,NA,"Purinergic receptor activator","62389","purinergic receptor activator","","","","Preclinical"
"17","RX-821002","HA1E","trt_cp","down",-0.362289327323266,2.78083023579743e-05,0.000677836344179179,-1.26509279700628,-94.2882641677822,2241,-1.03340447500248,100,29,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C","Adrenergic receptor antagonist","108094","adrenergic receptor antagonist","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C","","","Preclinical"
"18","SC-560","HA1E","trt_cp","down",-0.361944533140121,2.78083023579743e-05,0.000677836344179179,-1.26388879621286,-87.9518072289157,2241,0,100,29,NA,"Cyclooxygenase inhibitor","4306515","cyclooxygenase inhibitor","PTGS1","","","Preclinical"
"19","PAC-1","HA1E","trt_cp","down",-0.358676824088292,2.79388577681057e-05,0.000677836344179179,-1.25247815043225,-90.1383311021865,2241,0.439146034157817,100,29,"CASP3","Caspase activator","135421197","caspase activator","CASP3","","","Phase 1"
"20","nafadotride","HA1E","trt_cp","down",-0.355037809516421,2.83087647634778e-05,0.000677836344179179,-1.23977092784557,-97.0995091477019,2241,-0.881589892469737,100,29,"DRD3","Dopamine receptor antagonist","3408722","dopamine receptor antagonist","DRD2, DRD3, HTR1A","","","Preclinical"
