"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss"
"1","BRL-37344","HA1E","trt_cp","down",-0.389921680181687,2.65462667267047e-05,0.00362614442702092,-1.5867324378445,-99.553770638108,2241,0,100,100,"ADRB1; ADRB2; ADRB3","Adrenergic receptor agonist","9841972"
"2","IB-MECA","HA1E","trt_cp","down",-0.352298930431513,2.8656912523828e-05,0.00362614442702092,-1.43363185261494,-97.5903614457831,2241,0,100,100,"ADORA1; ADORA2A; ADORA2B; ADORA3","Adenosine receptor agonist","3668"
"3","LY-344864","HA1E","trt_cp","down",-0.347419354835553,2.99407073901195e-05,0.00362614442702092,-1.41377509348984,-97.7242302543507,2241,-0.0192890955365587,100,100,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR7","Serotonin receptor agonist","5311097"
"4","PKCbeta-inhibitor","HA1E","trt_cp","down",-0.346588146124101,2.99407073901195e-05,0.00362614442702092,-1.41039260441033,-96.1624274877287,2241,-0.57056368642815,100,100,"PRKCB","PKC inhibitor","6419755"
"5","nafadotride","HA1E","trt_cp","down",-0.34352487856136,3.07457990859294e-05,0.00362614442702092,-1.39792706003399,-99.107541276216,2241,0,100,100,"DRD3","Dopamine receptor antagonist","3408722"
"6","moexipril","HA1E","trt_cp","down",-0.342201987578568,3.18990385420895e-05,0.00362614442702092,-1.39254373784183,-92.4141008478358,2241,0,100,100,"ACE; ACE2","ACE inhibitor","91270"
"7","etifenin","HA1E","trt_cp","down",-0.332408308026214,4.37795808640409e-05,0.00363821775440844,-1.35268971119645,-92.235609103079,2241,0,100,100,NA,"Compound used in hepatobiliary scans of the liver","170344"
"8","KU-0060648","HA1E","trt_cp","down",-0.329438572257893,5.02638329005639e-05,0.00374380016981899,-1.34060478154281,-90.2275769745649,2241,0,100,100,"PIK3CA; PIK3CB; PIK3CD; PIK3CG; PRKDC","DNA dependent protein kinase inhibitor; PI3K inhibitor","11964036"
"9","tyrphostin-AG-18","HA1E","trt_cp","down",-0.325957177292302,5.94027116097573e-05,0.00401457502167354,-1.32643772543483,-92.5479696564034,2241,0,100,100,"EGFR","EGFR inhibitor; Tyrosine kinase inhibitor","NotFound"
"10","ICI-204448","HA1E","trt_cp","down",-0.325256130988877,6.28841892132596e-05,0.00412254750283104,-1.32358491430221,-85.9437751004016,2241,-0.0233080287010521,100,100,"OPRK1","Opioid receptor agonist","3683"
"11","BRD-K78797196","HA1E","trt_cp","down",-0.320262554626456,8.91911043547236e-05,0.00490882202601877,-1.303264244799,-96.5194109772423,2241,-0.0198973990863139,100,100,NA,NA,"4292126"
"12","PP-30","HA1E","trt_cp","down",-0.317907444232779,0.000103269329413886,0.00526730888184743,-1.29368044824116,-95.1360999553771,2241,-0.550339815465304,100,100,"RAF1","RAF inhibitor","73707372"
"13","desipramine","HA1E","trt_cp","down",-0.317027081849097,0.00011184246801251,0.0055267015698741,-1.29009793507955,-89.2458723784025,2241,0,100,100,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; ADRB1; ADRB2; CHRM1; CHRM4; CHRM5; HRH1; SLC22A3; SLC6A2; SLC6A4; SMPD1; TH","Tricyclic antidepressant","2995"
"14","indirubin-3-monoxime","HA1E","trt_cp","down",-0.314975883664186,0.000131708649587495,0.00610161562544649,-1.28175086729166,-93.351182507809,2241,0.02993798272859,100,100,NA,NA,"3707"
"15","aminoglutethimide","HA1E","trt_cp","down",-0.314944759778731,0.000131708649587495,0.00610161562544649,-1.28162421293733,-94.4221329763498,2241,-0.0363234924552958,100,100,"CYP11A1; CYP19A1; NR3C1","Glucocorticoid receptor antagonist","2145"
"16","vinpocetine","HA1E","trt_cp","down",-0.314259772054161,0.000142914655623768,0.00638889680335202,-1.27883674997401,-95.6269522534583,2241,0,100,100,"PDE1A; PDE1C; SCN10A","Phosphodiesterase inhibitor; Sodium channel blocker","5673"
"17","NVP-AUY922","HA1E","trt_cp","down",-0.313553977178322,0.000142914655623768,0.00638889680335202,-1.27596461518162,-93.2619366354306,2241,-1.0332388024991,100,100,"HSP90AA1; HSP90AA2; HSP90AB1; HSP90B1; TRAP1","HSP inhibitor","10096043"
"18","thiotepa","HA1E","trt_cp","down",-0.312745066888234,0.000155447974996376,0.0066826633666356,-1.27267286644892,-94.5560017849174,2241,0,100,100,"CYP2B6","Cytochrome P450 inhibitor","5453"
"19","ML-9","HA1E","trt_cp","down",-0.312442685905713,0.000167807220488809,0.00700431301070273,-1.27144236879275,-94.3775100401606,2241,0,100,100,"MLCK; PKA; PKC; TRPC6","Myosin light chain kinase inhibitor","108047"
"20","RU-28318","HA1E","trt_cp","down",-0.312133141460148,0.000167807220488809,0.00700431301070273,-1.27018272041284,-95.5377063810799,2241,-0.0188475412205283,100,100,"NR3C2","Cytochrome P450 inhibitor","3034004"
"21","geldanamycin","HA1E","trt_cp","down",-0.311436686961326,0.000182864611123956,0.00741723395305608,-1.26734859499502,-91.6555109326194,2241,0,100,100,"HSP90AA1; HSP90AB1; HSP90B1","HSP inhibitor","3460"
"22","DR-2313","HA1E","trt_cp","down",-0.310618166891922,0.000182864611123956,0.00741723395305608,-1.2640177405923,-94.3328871039714,2241,0,100,100,"PARP1; PARP3","PARP inhibitor","135522417"
"23","ecopipam","HA1E","trt_cp","down",-0.30975427469275,0.000200206721436402,0.00787731172117405,-1.26050225057238,-93.8420348058902,2241,0,100,100,"DRD1","Dopamine receptor antagonist","107930"
"24","BRD-A74983348","HA1E","trt_cp","down",-0.307944773916881,0.000240221954641656,0.00897531719309914,-1.25313873701746,-94.8237394020527,2241,-0.0186836141503708,100,100,NA,NA,"24747150"
"25","pizotifen","HA1E","trt_cp","down",-0.307884945496488,0.000240221954641656,0.00897531719309914,-1.25289527352167,-86.03302097278,2241,0,100,100,"ADRA1B; ADRA1D; ADRA2B; ADRA2C; HTR1B; HTR1D; HTR2B","Serotonin receptor antagonist","27400"
"26","isoflupredone-acetate","HA1E","trt_cp","down",-0.30682176184116,0.000262590448244158,0.00956228735301785,-1.24856879443872,-89.6474788041053,2241,0,100,100,NA,NA,"224246"
"27","ivachtin","HA1E","trt_cp","down",-0.306205658473756,0.000288462178685184,0.010228833243562,-1.24606164685546,-73.5832217759929,2241,0,100,100,"CASP3","Caspase inhibitor","11201705"
"28","mepacrine","HA1E","trt_cp","down",-0.302584779787989,0.000381069482938344,0.0124378047996552,-1.23132698100788,-89.4689870593485,2241,0,100,100,"AKT1; MTOR; NFKB1; PLA2G1B; PLA2G2A; PLA2G2D; PLA2G4A; PLA2G6; PLCL1; TP53","Cytokine production inhibitor; NFkB pathway inhibitor; TP53 activator","237"
"29","PAC-1","HA1E","trt_cp","down",-0.301995204294218,0.000416711109904199,0.0132620330794719,-1.22892778494346,-88.7996430165105,2241,0.566674351381621,100,100,"CASP3","Caspase activator","135421197"
"30","BRD-K21640605","HA1E","trt_cp","down",-0.299160324473832,0.000548572074136847,0.0160064623739892,-1.21739163294929,-91.789379741187,2241,-0.0167668950833667,100,100,NA,NA,"665093"
"31","iopanoic-acid","HA1E","trt_cp","down",-0.297623569444585,0.000602317384640913,0.0171076005738923,-1.21113802055002,-89.6028558679161,2241,-0.0230523050507387,100,100,NA,"Radiopaque medium","3735"
"32","CGP-53353","HA1E","trt_cp","down",-0.293805461853775,0.000864711999769874,0.0223251149783283,-1.19560075890636,-81.5707273538599,2241,-0.291943699965619,100,100,"EGFR; PRKCB","EGFR inhibitor; PKC inhibitor","6711154"
"33","thioridazine","HA1E","trt_cp","down",-0.293547153145231,0.000864711999769874,0.0223251149783283,-1.19454960728372,-82.1508255243195,2241,0,100,100,"ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1","Dopamine receptor antagonist","5452"
"34","fusaric-acid","HA1E","trt_cp","down",-0.290948725349229,0.00112815105817989,0.0271725943551965,-1.18397566415393,-84.471218206158,2241,0,100,100,"DBH","Dopamine beta hydroxylase inhibitor","3442"
"35","LY-456236","HA1E","trt_cp","down",-0.288706237941585,0.0013420878569151,0.0308384947761952,-1.17485017128699,-88.9335118250781,2241,0,100,100,"GRM1","Glutamate receptor antagonist","9926999"
"36","UCL-2077","HA1E","trt_cp","down",-0.288294119145385,0.00146546271948921,0.0326450822767068,-1.17317311075044,-83.6680053547523,2241,0,100,100,NA,"Slow after hyperpolarization channel blocker","24868317"
"37","TPCA-1","HA1E","trt_cp","down",-0.287423271450364,0.00159862923782317,0.0346867824614739,-1.16962931630057,-80.276662204373,2241,-0.976446281196498,100,100,"CDC42BPB; EPHB1; IKBKB; MAP3K9; NTRK3; NUAK1; RET; TNK2; TYK2","IKK inhibitor","9903786"
"38","tetrabenazine","HA1E","trt_cp","down",-0.287159343007375,0.00159862923782317,0.0346867824614739,-1.16855529594457,-88.5319053993753,2241,0,100,100,"SLC18A1; SLC18A2","Vesicular monoamine transporter inhibitor","6018"
