"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"1","etoposide","HA1E","trt_cp","down",-0.713393073578185,1.24898009025644e-05,0.000124761495428982,-2.02685618811518,-99.553770638108,2241,-1.78371547857225,100,31,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602","topoisomerase inhibitor","TOP2A, TOP2B","oncology","non-small cell lung cancer (NSCLC)","Launched"
"2","pyrvinium-pamoate","HA1E","trt_cp","down",-0.663456922900785,1.46657244047533e-05,0.000124761495428982,-1.88498013161875,-99.6430165104864,2241,-1.687942110243,100,31,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"3","amsacrine","HA1E","trt_cp","down",-0.638550005641746,1.5710167685804e-05,0.000124761495428982,-1.81421586260202,-98.7505577867024,2241,-1.58822753264746,100,31,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179","topoisomerase inhibitor","KCNH2, TOP2A","hematologic malignancy","acute lymphoblastic leukemia (ALL)","Launched"
"4","pyrvinium-pamoate","NKDBA","trt_cp","down",-0.616757653445567,1.66675740267671e-05,0.000124761495428982,-1.48965006923196,NA,229,-1.687942110243,100,31,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"5","niclosamide","HA1E","trt_cp","down",-0.589395932298735,1.78860911879929e-05,0.000124761495428982,-1.67456180452904,-96.1624274877287,2241,-1.47627195335995,100,31,"STAT3","DNA replication inhibitor; STAT inhibitor","4477","DNA replication inhibitor, STAT inhibitor","STAT3","infectious disease","tapeworm","Launched"
"6","chlorambucil","HA1E","trt_cp","down",-0.56316463239117,1.90175714091311e-05,0.000124761495428982,-1.60003476675829,-98.88442659527,2241,-0.926056371294621,100,31,NA,"DNA inhibitor","2708","DNA inhibitor","","hematologic malignancy","chronic lymphocytic leukemia (CLL), Hodgkin's lymphoma","Launched"
"7","lasalocid","HA1E","trt_cp","down",-0.558044093707442,1.923516375935e-05,0.000124761495428982,-1.58548655217367,-97.9919678714859,2241,-1.60046181668044,100,31,NA,"Bacterial permeability inducer","5360807","bacterial permeability inducer","","infectious disease","coccidiosis","Launched"
"8","methylene-blue","HA1E","trt_cp","down",-0.545071270612658,1.98009038699191e-05,0.000124761495428982,-1.54862882571005,-96.9656403391343,2241,-1.3727844991117,100,31,"ACHE; MAPT","Guanylyl cyclase inhibitor; Monoamine oxidase inhibitor; Nitric oxide production inhibitor; Tau aggregation inhibitor","4139","guanylyl cyclase inhibitor, nitric oxide production inhibitor","ACHE","hematology","methemoglobinemia","Launched"
"9","penfluridol","HA1E","trt_cp","down",-0.533927522032444,2.02796070404007e-05,0.000124761495428982,-1.5169677729116,-94.8237394020527,2241,-1.40501251008835,100,31,"CACNA1G; DRD1","T-type calcium channel blocker","33630","T-type calcium channel blocker","CACNA1G","neurology/psychiatry","schizophrenia","Launched"
"10","vorinostat","NKDBA","trt_cp","down",-0.531516565777251,2.03666439804882e-05,0.000124761495428982,-1.28376791854094,NA,229,-1.07130097458377,100,31,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","HDAC inhibitor","5311","HDAC inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9","hematologic malignancy","cutaneous T-cell lymphoma (CTCL)","Launched"
