"","Drug","Drug_Targets","MOA","Original_Indication"
"1","amiloride","TRPV2","sodium channel blocker","hypertension, congestive heart failure"
"2","amiloride","AOC1","sodium channel blocker","hypertension, congestive heart failure"
"3","amisulpride","HTR7","dopamine receptor antagonist","psychosis, bipolar disorder, schizophrenia"
"4","amitriptyline","HRH2","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","depression"
"5","amitriptyline","ADRA1D","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","depression"
"6","amitriptyline","ORM2","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","depression"
"7","amitriptyline","HTR7","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","depression"
"8","amitriptyline","HTR6","norepinephrine inhibitor, norepinephrine reuptake inhibitor, serotonin receptor antagonist, serotonin–norepinephrine reuptake inhibitor (SNRI)","depression"
"9","bromocriptine","DRD4","dopamine receptor agonist","hyperprolactinemia, Parkinson's Disease, acromegaly"
"10","bromocriptine","HTR6","dopamine receptor agonist","hyperprolactinemia, Parkinson's Disease, acromegaly"
"11","bromocriptine","HTR7","dopamine receptor agonist","hyperprolactinemia, Parkinson's Disease, acromegaly"
"12","bromocriptine","ADRA1D","dopamine receptor agonist","hyperprolactinemia, Parkinson's Disease, acromegaly"
"13","bromocriptine","PRL","dopamine receptor agonist","hyperprolactinemia, Parkinson's Disease, acromegaly"
"14","crizotinib","EPHB6","ALK tyrosine kinase receptor inhibitor","non-small cell lung cancer (NSCLC)"
"15","crizotinib","ROS1","ALK tyrosine kinase receptor inhibitor","non-small cell lung cancer (NSCLC)"
"16","diltiazem","EDN1","calcium channel blocker","hypertension, angina pectoris"
"17","diltiazem","HTR3A","calcium channel blocker","hypertension, angina pectoris"
"18","fenofibrate","MMP25","PPAR receptor agonist","hypercholesterolemia, hypertriglyceridemia"
"19","fenofibrate","SERPINE1","PPAR receptor agonist","hypercholesterolemia, hypertriglyceridemia"
"20","fenofibrate","VCAM1","PPAR receptor agonist","hypercholesterolemia, hypertriglyceridemia"
"21","fenofibrate","CCL2","PPAR receptor agonist","hypercholesterolemia, hypertriglyceridemia"
"22","fluoxetine","CHRNA3","selective serotonin reuptake inhibitor (SSRI)","depression, obsessive compulsive disorder (OCD), bulimia nervosa, panic disorders, bipolar disorder"
"23","fluoxetine","CHRNB4","selective serotonin reuptake inhibitor (SSRI)","depression, obsessive compulsive disorder (OCD), bulimia nervosa, panic disorders, bipolar disorder"
"24","fluphenazine","HTR6","dopamine receptor antagonist","schizophrenia"
"25","fluphenazine","HTR7","dopamine receptor antagonist","schizophrenia"
"26","fluvastatin","ICAM1","HMGCR inhibitor","hypercholesterolemia, congenital heart defects"
"27","fluvastatin","F3","HMGCR inhibitor","hypercholesterolemia, congenital heart defects"
"28","fluvastatin","SERPINE1","HMGCR inhibitor","hypercholesterolemia, congenital heart defects"
"29","fluvastatin","SELP","HMGCR inhibitor","hypercholesterolemia, congenital heart defects"
"30","imipramine","ADRA1D","norepinephrine reputake inhibitor, serotonin reuptake inhibitor","depression, nocturnal enuresis"
"31","imipramine","HTR7","norepinephrine reputake inhibitor, serotonin reuptake inhibitor","depression, nocturnal enuresis"
"32","imipramine","ORM2","norepinephrine reputake inhibitor, serotonin reuptake inhibitor","depression, nocturnal enuresis"
"33","imipramine","HTR6","norepinephrine reputake inhibitor, serotonin reuptake inhibitor","depression, nocturnal enuresis"
"34","mirtazapine","HTR7","adrenergic receptor antagonist, serotonin receptor antagonist","depression"
"35","mirtazapine","ADRA1D","adrenergic receptor antagonist, serotonin receptor antagonist","depression"
"36","mirtazapine","HTR3A","adrenergic receptor antagonist, serotonin receptor antagonist","depression"
"37","nicotine","CHRNA6","acetylcholine receptor agonist","smoking cessation"
"38","nicotine","CHRNA5","acetylcholine receptor agonist","smoking cessation"
"39","nicotine","CHRNA3","acetylcholine receptor agonist","smoking cessation"
"40","nicotine","TH","acetylcholine receptor agonist","smoking cessation"
"41","nicotine","CHRNB4","acetylcholine receptor agonist","smoking cessation"
"42","nicotine","FOS","acetylcholine receptor agonist","smoking cessation"
"43","paclitaxel","KIF1A","tubulin polymerization inhibitor","ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC)"
"44","paclitaxel","TUBB","tubulin polymerization inhibitor","ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC)"
"45","perphenazine","HTR6","dopamine receptor antagonist","schizophrenia, nausea, vomiting"
"46","perphenazine","HTR7","dopamine receptor antagonist","schizophrenia, nausea, vomiting"
"47","pravastatin","SELP","HMGCR inhibitor","hypercholesterolemia, myocardial infarction, hyperlipidemia"
"48","pravastatin","CCL2","HMGCR inhibitor","hypercholesterolemia, myocardial infarction, hyperlipidemia"
