"","pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","MOA","Target","Disease.Area","Indication","Phase"
"1","etoposide","HA1E","trt_cp","down",-0.713393073578185,1.24898009025644e-05,0.000124761495428982,-2.02685618811518,-99.553770638108,2241,-1.78371547857225,100,31,"ABCB1; ABCC1; ABCC2; ABCC3; ABCG2; APAF1; BAX; CASP2; CASP6; CASP8; CASP9; CDKN1A; CYCS; CYP2E1; CYP3A5; DCK; FAS; H2AFX; KMT2A; LMNB1; MAPK8; MCL1; RB1; TOP2A; TOP2B; TP53","Topoisomerase inhibitor","73707602","topoisomerase inhibitor","TOP2A, TOP2B","oncology","non-small cell lung cancer (NSCLC)","Launched"
"2","pyrvinium-pamoate","HA1E","trt_cp","down",-0.663456922900785,1.46657244047533e-05,0.000124761495428982,-1.88498013161875,-99.6430165104864,2241,-1.687942110243,100,31,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"3","amsacrine","HA1E","trt_cp","down",-0.638550005641746,1.5710167685804e-05,0.000124761495428982,-1.81421586260202,-98.7505577867024,2241,-1.58822753264746,100,31,"ALB; KCNH2; ORM1; TOP2A; TOP2B","Topoisomerase inhibitor","2179","topoisomerase inhibitor","KCNH2, TOP2A","hematologic malignancy","acute lymphoblastic leukemia (ALL)","Launched"
"4","pyrvinium-pamoate","NKDBA","trt_cp","down",-0.616757653445567,1.66675740267671e-05,0.000124761495428982,-1.48965006923196,NA,229,-1.687942110243,100,31,"AR","AKT inhibitor","73707397","androgen receptor antagonist","AR","infectious disease","pinworm","Launched"
"5","niclosamide","HA1E","trt_cp","down",-0.589395932298735,1.78860911879929e-05,0.000124761495428982,-1.67456180452904,-96.1624274877287,2241,-1.47627195335995,100,31,"STAT3","DNA replication inhibitor; STAT inhibitor","4477","DNA replication inhibitor, STAT inhibitor","STAT3","infectious disease","tapeworm","Launched"
"6","NSC-663284","HA1E","trt_cp","down",-0.587732670701112,1.79296096580367e-05,0.000124761495428982,-1.66983623010667,-95.6269522534583,2241,-1.5395077291138,100,31,"CDC25A; CDC25B; CDC25C","CDC inhibitor","379077","CDC inhibitor","CDC25A, CDC25B, CDC25C","","","Preclinical"
"7","IKK-2-inhibitor-V","HA1E","trt_cp","down",-0.585858222208843,1.80166465981242e-05,0.000124761495428982,-1.66451064219929,-96.4301651048639,2241,-1.37982465599928,100,31,"IKBKB","IKK inhibitor; NFkB pathway inhibitor","5081913","IKK inhibitor, NFkB pathway inhibitor","IKBKB","","","Phase 1"
"8","BNTX","HA1E","trt_cp","down",-0.579410791226517,1.83212758884307e-05,0.000124761495428982,-1.64619252857025,-97.8580990629183,2241,-1.344828078986,100,31,"OPRD1; OPRK1; OPRM1","Opioid receptor antagonist","6438353","opioid receptor antagonist","OPRD1, OPRK1, OPRM1","","","Preclinical"
"9","CGK-733","HA1E","trt_cp","down",-0.574037667699721,1.85388682386495e-05,0.000124761495428982,-1.63092668275096,-95.4484605087015,2241,-1.50633726358345,100,31,"ATM; ATR","ATR kinase inhibitor","6605258","ATM kinase inhibitor, ATR kinase inhibitor","ATM, ATR","","","Preclinical"
"10","CD-437","HA1E","trt_cp","down",-0.568560475453759,1.87564605888684e-05,0.000124761495428982,-1.61536516216941,-98.1258366800535,2241,-1.57855731729654,100,31,"RARG","Retinoid receptor agonist","135411","retinoid receptor agonist","RARG","","","Preclinical"
