"","entrezgene_id","ensembl_gene_id","hgnc_symbol","description","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1",354,"ENSG00000142515","KLK3","kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]","ENSMUSG00000060177",391.389189609336,-6.26566054250968,0.77858717503195,3.92198704217254e-17,1.95034812768609e-14
"2",3816,"ENSG00000167748","KLK1","kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]","ENSMUSG00000060177",391.389189609336,-6.26566054250968,0.77858717503195,3.92198704217254e-17,1.95034812768609e-14
"3",3817,"ENSG00000167751","KLK2","kallikrein related peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6363]","ENSMUSG00000060177",391.389189609336,-6.26566054250968,0.77858717503195,3.92198704217254e-17,1.95034812768609e-14
"4",54541,"ENSG00000168209","DDIT4","DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]","ENSMUSG00000020108",2252.81361906292,-2.6183375693131,0.204417122677834,5.79603789501254e-39,1.68133399271155e-35
"5",7481,"ENSG00000085741","WNT11","Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]","ENSMUSG00000015957",40.2342890872667,-2.56283893319065,0.494137353057496,1.02467517697349e-08,1.26485613157615e-06
"6",63973,"ENSG00000178403","NEUROG2","neurogenin 2 [Source:HGNC Symbol;Acc:HGNC:13805]","ENSMUSG00000027967",61.8478259616506,-2.38495191165401,0.63255142286059,6.0138085339766e-06,0.000306951136462941
"7",51555,"ENSG00000114757","PEX5L","peroxisomal biogenesis factor 5 like [Source:HGNC Symbol;Acc:HGNC:30024]","ENSMUSG00000027674",52.207197713387,-2.30946381417535,0.365885158480251,1.45681431799299e-11,3.20960167147695e-09
"8",10912,"ENSG00000130222","GADD45G","growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]","ENSMUSG00000021453",2061.25760659338,-2.16909918931809,0.260991581409942,4.44803192472745e-18,2.76492841606719e-15
"9",1548,"ENSG00000255974","CYP2A6","cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610]","ENSMUSG00000074254",20264.6939625963,-2.03995043866592,0.431289536880133,9.03508420083664e-08,8.45460432879364e-06
"10",1553,"ENSG00000197838","CYP2A13","cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]","ENSMUSG00000074254",20264.6939625963,-2.03995043866592,0.431289536880133,9.03508420083664e-08,8.45460432879364e-06
"11",5816,"ENSG00000100362","PVALB","parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]","ENSMUSG00000005716",680.059847313039,-1.92885613676374,0.653706502762518,9.78627015735502e-05,0.00309128914861641
"12",8608,"ENSG00000139547","RDH16","retinol dehydrogenase 16 [Source:HGNC Symbol;Acc:HGNC:29674]","ENSMUSG00000074639",964.158006147415,-1.81352216141322,0.357396194262641,1.6600817486782e-08,1.92624818904961e-06
"13",3756,"ENSG00000143473","KCNH1","potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]","ENSMUSG00000058248",151.363107142916,-1.61117053396734,0.414025918482505,3.9262975285228e-06,0.000217634421923374
"14",1263,"ENSG00000173846","PLK3","polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]","ENSMUSG00000028680",2014.83300042101,-1.50405453696826,0.874469468879592,0.00166872634654101,0.0287057321993749
"15",5311,"ENSG00000118762","PKD2","polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]","ENSMUSG00000034462",9195.83031406237,-1.49870272945623,0.0881576011787394,4.29959954597824e-66,3.74172650488756e-62
"16",58510,"ENSG00000250799","PRODH2","proline dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:17325]","ENSMUSG00000036892",1397.85108861116,-1.44421875055179,0.166028172876,1.46501245157347e-19,1.21421627236363e-16
"17",80168,"ENSG00000166391","MOGAT2","monoacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:23248]","ENSMUSG00000052396",629.963384954325,-1.4437034014634,0.308938195304651,1.28697117498939e-07,1.14870427183027e-05
"18",9935,"ENSG00000204103","MAFB","MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]","ENSMUSG00000074622",1444.80495689126,-1.44217713619883,0.27849867503346,1.00589015188533e-08,1.25053700668315e-06
"19",770,"ENSG00000063180","CA11","carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]","ENSMUSG00000003273",104.713572705477,-1.38923677590913,0.262877684300062,6.00943299674731e-09,8.04570625449131e-07
"20",3898,"ENSG00000159166","LAD1","ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]","ENSMUSG00000041782",2225.21454995843,-1.37853785958329,0.242514785561707,6.20680889455638e-10,1.09120715969448e-07
"21",56154,"ENSG00000133863","TEX15","testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]","ENSMUSG00000009628",30.8850145003538,-1.35433031955367,0.551215221139279,0.000449242866110317,0.0104945477922063
"22",57835,"ENSG00000188687","SLC4A5","solute carrier family 4 member 5 [Source:HGNC Symbol;Acc:HGNC:18168]","ENSMUSG00000068323",53.3079150869304,-1.33025011289843,0.371154003598739,1.41069564082199e-05,0.000626622477583345
"23",1995,"ENSG00000196361","ELAVL3","ELAV like RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3314]","ENSMUSG00000003410",46.540989131637,-1.30239033965219,0.515187474110445,0.000373132874814939,0.00900745864931209
"24",645,"ENSG00000090013","BLVRB","biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]","ENSMUSG00000040466",748.112285556856,-1.30119992498548,0.20070636460947,4.40548961378347e-12,9.83045470870529e-10
"25",1052,"ENSG00000221869","CEBPD","CCAAT enhancer binding protein delta [Source:HGNC Symbol;Acc:HGNC:1835]","ENSMUSG00000071637",460.93724451333,-1.24825941081435,0.237299434698382,6.75712413311981e-09,8.71168485458892e-07
"26",1051,"ENSG00000172216","CEBPB","CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]","ENSMUSG00000056501",1502.02828570746,-1.24169681477805,0.276039689987185,3.04508831986355e-07,2.42008046608334e-05
"27",1152,"ENSG00000166165","CKB","creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]","ENSMUSG00000001270",2764.49569097589,-1.21046407399303,0.118637812421226,1.02771303976014e-25,1.27766753264465e-22
"28",4852,"ENSG00000122585","NPY","neuropeptide Y [Source:HGNC Symbol;Acc:HGNC:7955]","ENSMUSG00000029819",66.8644842880592,-1.20926936439661,0.589697070348158,0.00108699586264535,0.0205511423582878
