"","Mouse.gene.stable.ID","entrezgene_id.x","ensembl_gene_id","hgnc_symbol","description.x","baseMean","log2FoldChange","lfcSE","pvalue","padj","group","group_name","SRR11680775","SRR11680776","SRR11680777","SRR11680778","SRR11680779","SRR11680780","entrezgene_id.y","mgi_symbol","description.y"
"1","ENSMUSG00000000982",6362,"ENSG00000275385","CCL18","C-C motif chemokine ligand 18 [Source:HGNC Symbol;Acc:HGNC:10616]",40.8201248352247,3.03352229911209,1.18060071414809,0.000263138005354926,0.00679512905519656,1,NA,4.88821263822543,4.96153248939451,4.89154084602125,5.2158566726387,4.92696221902238,5.56783331234291,20302,"Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
"2","ENSMUSG00000001270",1152,"ENSG00000166165","CKB","creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]",2764.49569097589,-1.21046407399303,0.118637812421226,1.02771303976014e-25,1.27766753264465e-22,1,NA,11.7021098762831,11.7461882097102,11.7988825442684,10.8505583792288,11.0088781315297,10.7806156824408,12709,"Ckb","creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
"3","ENSMUSG00000001517",2305,"ENSG00000111206","FOXM1","forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]",163.553085315762,1.67922170432208,0.351558760138348,7.91487062537458e-08,7.61095708478699e-06,1,NA,6.82310387022641,6.85800186708928,7.08402768501025,7.38677487879762,7.55098965582474,7.58029023657573,14235,"Foxm1","forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]"
"4","ENSMUSG00000002020",4053,"ENSG00000119681","LTBP2","latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]",51.0329650181486,2.48674599205025,0.849796733201021,0.000106575541659634,0.00333623615573009,1,NA,5.25303740004354,5.32059199538093,5.24008068981133,5.59219126232175,5.93398496409977,5.32453999983708,16997,"Ltbp2","latent transforming growth factor beta binding protein 2 [Source:MGI Symbol;Acc:MGI:99502]"
"5","ENSMUSG00000002699",3937,"ENSG00000043462","LCP2","lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]",78.7425813612039,1.12441127239876,0.348115127145222,5.10154504200451e-05,0.00184599566436774,1,NA,6.12131888110793,6.08782574207766,6.14442404581932,6.42840067229694,6.43724084340452,6.27346451621207,16822,"Lcp2","lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]"
"6","ENSMUSG00000003273",770,"ENSG00000063180","CA11","carbonic anhydrase 11 [Source:HGNC Symbol;Acc:HGNC:1370]",104.713572705477,-1.38923677590913,0.262877684300062,6.00943299674731e-09,8.04570625449131e-07,1,NA,6.76871153005508,6.82692636953398,6.85783079035941,6.4101667498241,6.47633891427178,6.47214489623099,12348,"Car11","carbonic anhydrase 11 [Source:MGI Symbol;Acc:MGI:1336193]"
"7","ENSMUSG00000003410",1995,"ENSG00000196361","ELAVL3","ELAV like RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3314]",46.540989131637,-1.30239033965219,0.515187474110445,0.000373132874814939,0.00900745864931209,1,NA,5.60146015385496,5.6471301732765,5.5153271508661,5.37429996244656,5.42649296264866,5.32631191841743,15571,"Elavl3","ELAV like RNA binding protein 3 [Source:MGI Symbol;Acc:MGI:109157]"
"8","ENSMUSG00000003779",10112,"ENSG00000112984","KIF20A","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]",148.260493856516,1.95782023166509,0.294890910212182,1.56561053334267e-12,3.83795089194778e-10,1,NA,6.77108336347247,6.69477956590747,6.80583000909568,7.23969306727128,7.32069508568628,7.50959380537613,19348,"Kif20a","kinesin family member 20A [Source:MGI Symbol;Acc:MGI:1201682]"
"9","ENSMUSG00000004558",57447,"ENSG00000165795","NDRG2","NDRG family member 2 [Source:HGNC Symbol;Acc:HGNC:14460]",3760.79541317991,-1.10268494783456,0.115999824340589,1.06482414472898e-22,1.02962579105599e-19,1,NA,12.2301641548638,12.2520072245869,12.05135254773,11.3286644869558,11.3339161598115,11.458895560539,29811,"Ndrg2","N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]"
"10","ENSMUSG00000005087",960,"ENSG00000026508","CD44","CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]",209.023704806271,1.55657689669353,0.429503683663771,1.12925427256145e-05,0.000522730601434361,1,NA,7.187780108905,7.3126917256552,7.11631176416458,8.13665975455841,7.90712615669298,7.41991047828753,12505,"Cd44","CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"
