"","entrezgene_id","ensembl_gene_id","hgnc_symbol","description","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1",635,"ENSG00000145692","BHMT","betaine--homocysteine S-methyltransferase [Source:HGNC Symbol;Acc:HGNC:1047]","ENSMUSG00000074768",305.539430557364,-3.78635277884058,0.602216452856869,1.36248062961511e-11,9.42360388871652e-10
"2",5444,"ENSG00000005421","PON1","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]","ENSMUSG00000002588",22.9068711964441,-3.74425563213514,1.35788672898983,0.000168625896959052,0.00184693389111925
"3",5816,"ENSG00000100362","PVALB","parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]","ENSMUSG00000005716",333.850365542704,-3.58648947036847,0.44087033663444,2.83880785563309e-17,5.50576034226412e-15
"4",1565,"ENSG00000100197","CYP2D6","cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]","ENSMUSG00000094806",7.70114489488502,-3.46705663455116,1.65803538578014,0.00149714348516078,0.0111332465430954
"5",350,"ENSG00000091583","APOH","apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]","ENSMUSG00000000049",53.8330593727622,-3.45145713888448,1.12859542274641,5.54292959366705e-05,0.00071665753947884
"6",563,"ENSG00000160862","AZGP1","alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]","ENSMUSG00000037053",26.6445569615334,-3.2784945588618,1.49324747772049,0.000528793020859869,0.00475846923865984
"7",1339,"ENSG00000156885","COX6A2","cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]","ENSMUSG00000030785",31.1616933357112,-3.15615447356007,0.738249199470703,7.44176616915099e-07,1.69920327528948e-05
"8",3007,"ENSG00000124575","H1-3","H1.3 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4717]","ENSMUSG00000052565",37.4184799681835,-2.93588535122062,0.612228323228019,9.85488226089636e-08,2.93749712245296e-06
"9",84033,"ENSG00000154358","OBSCN","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:HGNC Symbol;Acc:HGNC:15719]","ENSMUSG00000061462",55.3692663163089,-2.72773050794105,1.00619794350732,0.000182749131599216,0.00196959881015554
"10",2168,"ENSG00000163586","FABP1","fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]","ENSMUSG00000054422",98.1185734003449,-2.66212999293953,0.903316167693766,9.01050474454876e-05,0.00108736593676169
"11",10998,"ENSG00000083807","SLC27A5","solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]","ENSMUSG00000030382",12.8446796631722,-2.58814335613802,1.46213463829098,0.00151298023370455,0.0112392817360909
"12",1995,"ENSG00000196361","ELAVL3","ELAV like RNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3314]","ENSMUSG00000003410",33.5914524258911,-2.53506310586291,0.490435734586166,1.29496967546849e-08,4.71483678093912e-07
"13",7448,"ENSG00000109072","VTN","vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]","ENSMUSG00000017344",61.7505466667875,-2.52408457559085,0.912514335569495,0.000159125604824565,0.00176271290001779
"14",1807,"ENSG00000147647","DPYS","dihydropyrimidinase [Source:HGNC Symbol;Acc:HGNC:3013]","ENSMUSG00000022304",115.138057682287,-2.47388030003051,0.376916696990101,2.70171612154231e-12,2.21230179883534e-10
"15",3133,"ENSG00000204592","HLA-E","major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]","ENSMUSG00000079492",107.941874206941,-2.45692478013436,0.515854752160407,8.46946282057284e-08,2.57848090315218e-06
"16",462,"ENSG00000117601","SERPINC1","serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]","ENSMUSG00000026715",55.4814892685446,-2.33258117729686,0.900643658364893,0.000297558706015067,0.00295787193718792
"17",10864,"ENSG00000137204","SLC22A7","solute carrier family 22 member 7 [Source:HGNC Symbol;Acc:HGNC:10971]","ENSMUSG00000067144",698.583302645013,-2.22335475848113,0.474483996885188,1.16434191969016e-07,3.38562115749906e-06
"18",1950,"ENSG00000138798","EGF","epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]","ENSMUSG00000028017",48964.7495025606,-2.17219222193737,0.203332609151102,6.66224060979225e-28,5.27353356712889e-25
"19",354,"ENSG00000142515","KLK3","kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]","ENSMUSG00000063903",66865.1094292337,-2.16971457416842,0.261039103646993,2.57529577057173e-18,6.25445695552944e-16
