"","entrezgene_id","ensembl_gene_id","hgnc_symbol","description","Mouse.gene.stable.ID","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1",6362,"ENSG00000275385","CCL18","C-C motif chemokine ligand 18 [Source:HGNC Symbol;Acc:HGNC:10616]","ENSMUSG00000000982",40.8201248352247,3.03352229911209,1.18060071414809,0.000263138005354926,0.00679512905519656
"2",262,"ENSG00000123505","AMD1","adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]","ENSMUSG00000063953",206.126863418277,3.03158310390699,0.283935532183061,7.6683607566494e-28,1.11223182474569e-24
"3",1033,"ENSG00000100526","CDKN3","cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]","ENSMUSG00000037628",29.4209860257786,2.88943346184433,0.637494313980171,2.94872973032132e-07,2.35424958514874e-05
"4",1063,"ENSG00000117724","CENPF","centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]","ENSMUSG00000026605",175.704625785824,2.75187572333694,0.303027685407606,6.07359053442562e-21,5.2855421625839e-18
"5",55247,"ENSG00000109674","NEIL3","nei like DNA glycosylase 3 [Source:HGNC Symbol;Acc:HGNC:24573]","ENSMUSG00000039396",28.0729178809503,2.72546678186754,0.61259073283241,4.33401582082742e-07,3.29404128216163e-05
"6",4288,"ENSG00000148773","MKI67","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]","ENSMUSG00000031004",642.779604403555,2.71323714672462,0.170532973198195,3.18784137004525e-58,1.84947930152125e-54
"7",9133,"ENSG00000157456","CCNB2","cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]","ENSMUSG00000032218",98.5406530620865,2.68062807510016,0.327291771980861,1.53929944382031e-17,8.11863843020986e-15
"8",891,"ENSG00000134057","CCNB1","cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]","ENSMUSG00000041431",91.8585733546507,2.6298469957777,0.343019753304003,1.03093724837541e-15,3.8177580442498e-13
"9",3161,"ENSG00000072571","HMMR","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]","ENSMUSG00000020330",125.5698167478,2.625935409753,0.339796825357587,5.94025492739824e-16,2.34977584116742e-13
"10",6347,"ENSG00000108691","CCL2","C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]","ENSMUSG00000035385",108.460221262541,2.55988801431172,0.861320770492368,8.91137627816467e-05,0.0028669594107478
"11",9055,"ENSG00000198901","PRC1","protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]","ENSMUSG00000038943",153.342279932306,2.55312840414521,0.264449768078284,2.71040838094412e-23,3.14497719135549e-20
"12",11004,"ENSG00000142945","KIF2C","kinesin family member 2C [Source:HGNC Symbol;Acc:HGNC:6393]","ENSMUSG00000028678",37.5578644346587,2.53896040307804,0.455775929606876,1.63832388714477e-09,2.59227520506862e-07
"13",4053,"ENSG00000119681","LTBP2","latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]","ENSMUSG00000002020",51.0329650181486,2.48674599205025,0.849796733201021,0.000106575541659634,0.00333623615573009
"14",55320,"ENSG00000129534","MIS18BP1","MIS18 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20190]","ENSMUSG00000047534",39.5328144370911,2.48140190644865,0.48374787367526,1.50807653511636e-08,1.77351838470947e-06
"15",6036,"ENSG00000169385","RNASE2","ribonuclease A family member 2 [Source:HGNC Symbol;Acc:HGNC:10045]","ENSMUSG00000072596",17.2116891714101,2.47073953592401,0.757890036709225,5.08296660295886e-05,0.00184310486926039
"16",6037,"ENSG00000169397","RNASE3","ribonuclease A family member 3 [Source:HGNC Symbol;Acc:HGNC:10046]","ENSMUSG00000072596",17.2116891714101,2.47073953592401,0.757890036709225,5.08296660295886e-05,0.00184310486926039
"17",26586,"ENSG00000136108","CKAP2","cytoskeleton associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1990]","ENSMUSG00000037725",72.3747230561508,2.45203738714239,0.457011514466668,3.91294153722084e-09,5.5369713378316e-07
"18",22974,"ENSG00000088325","TPX2","TPX2 microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]","ENSMUSG00000027469",127.902537049104,2.44168764556542,0.33141131998188,8.79479661135735e-15,2.88817801925801e-12
"19",983,"ENSG00000170312","CDK1","cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]","ENSMUSG00000019942",96.97853865067,2.43876687445105,0.297223261641504,1.32211294560512e-17,7.19105494320536e-15
"20",7153,"ENSG00000131747","TOP2A","DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]","ENSMUSG00000020914",371.978605982136,2.40119774032716,0.193376690223589,1.16678623976009e-36,2.9011306432892e-33
"21",146909,"ENSG00000186185","KIF18B","kinesin family member 18B [Source:HGNC Symbol;Acc:HGNC:27102]","ENSMUSG00000051378",30.4932493181879,2.3790733058214,0.530300201473559,3.74314612695243e-07,2.87002019117212e-05
"22",6354,"ENSG00000108688","CCL7","C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]","ENSMUSG00000035373",44.5360959926658,2.30699271370646,1.32477459226368,0.00146646914607077,0.0260980526455642
"23",55165,"ENSG00000138180","CEP55","centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","ENSMUSG00000024989",32.0424258914969,2.27201764652768,0.499201547252159,2.67416988797871e-07,2.17494985515278e-05
"24",64151,"ENSG00000109805","NCAPG","non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]","ENSMUSG00000015880",52.4808034419006,2.24215259734667,0.410789190271429,2.37022695974295e-09,3.61875440651982e-07
"25",55872,"ENSG00000168078","PBK","PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]","ENSMUSG00000022033",90.6097205527611,2.21555578056667,0.358122832120262,3.14599568960412e-11,6.59711505753732e-09
"26",9787,"ENSG00000126787","DLGAP5","DLG associated protein 5 [Source:HGNC Symbol;Acc:HGNC:16864]","ENSMUSG00000037544",47.9519995110137,2.20981742909904,0.486989393341493,2.64567036685219e-07,2.16187289835974e-05
"27",12,"ENSG00000196136","SERPINA3","serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]","ENSMUSG00000021091",116.270569649422,2.20554182225029,0.687076811677008,4.45424336631988e-05,0.00165172767616707
"28",55635,"ENSG00000024526","DEPDC1","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]","ENSMUSG00000028175",31.0255237741863,2.16610817674803,0.567241770984458,5.91750797106592e-06,0.000304716645669829
"29",84722,"ENSG00000134222","PSRC1","proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]","ENSMUSG00000068744",39.6835628491397,2.1592166539898,0.476902097550377,2.77254958152362e-07,2.23408451233419e-05
"30",890,"ENSG00000145386","CCNA2","cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]","ENSMUSG00000027715",193.057925396066,2.13324387088856,0.259680886459441,1.09208317922951e-17,6.33590257816319e-15
"31",57082,"ENSG00000137812","KNL1","kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]","ENSMUSG00000027326",81.2708693391148,2.10375358336772,0.344049756230468,4.95899396613188e-11,1.01542694094736e-08
"32",995,"ENSG00000158402","CDC25C","cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]","ENSMUSG00000044201",11.590599022842,2.10309479511668,1.16256897074674,0.00185755202679858,0.0311471031083133
"33",991,"ENSG00000117399","CDC20","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]","ENSMUSG00000006398",128.582178991834,2.09692965653719,0.367562002041462,5.49331998808463e-10,9.75624840740949e-08
"34",259266,"ENSG00000066279","ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","ENSMUSG00000033952",109.785496228454,2.04633996152086,0.352625252024178,3.18800181112706e-10,5.96636252931898e-08
"35",3557,"ENSG00000136689","IL1RN","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]","ENSMUSG00000026981",17.9191295588985,2.00018260232909,0.981928475075384,0.00108748073036386,0.0205511423582878
"36",899,"ENSG00000162063","CCNF","cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]","ENSMUSG00000072082",35.7721846868793,1.99415666279343,0.451998364031353,4.92964549286271e-07,3.66668717108015e-05
"37",81624,"ENSG00000139734","DIAPH3","diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]","ENSMUSG00000022021",44.709035997679,1.99009927763166,0.419040584524476,9.83895720761002e-08,9.0606904866906e-06
"38",699,"ENSG00000169679","BUB1","BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]","ENSMUSG00000027379",32.2973550810569,1.98267808989817,0.561939506989801,1.71656538419536e-05,0.000741360310469485
"39",6790,"ENSG00000087586","AURKA","aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]","ENSMUSG00000027496",57.0020105425144,1.97628361436336,0.387600792654886,1.64638869396444e-08,1.92318088714437e-06
